ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948062,2350,,2350,Stade Toulousain,0.00,4.68,4,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-28T13:30:24Z,0,0,0,0,0,2350,Stade Toulousain,4950,Montpellier Herault Rugby,28/03/2026,14:30,31,15,45,29,0,0,83,Stade Ernest-Wallon,-1,,20,2026,,,,0,,0,,1001258,Pierre Bru,1001250,Benoit Albert,1001254,Benjamin Hernandez,1001126,Jean Lespes,203,TOP 14,Y,W,0,,0,,
1,948062,30214,Thomas Vincent,4950,Montpellier Herault Rugby,0.00,4.68,4,1,50,34,93,58,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,43,49,24,0,2026-03-28T13:30:24Z,1,0,1,0,0,2350,Stade Toulousain,4950,Montpellier Herault Rugby,28/03/2026,14:30,31,15,45,29,0,0,83,Stade Ernest-Wallon,-1,,20,2026,10,10,Fly Half,0,,0,,1001258,Pierre Bru,1001250,Benoit Albert,1001254,Benjamin Hernandez,1001126,Jean Lespes,203,TOP 14,N,L,0,,0,,
2,948062,23286,Anthony Jelonch,2350,Stade Toulousain,4.68,4.68,9,1,7,10,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-28T13:30:29Z,1,1,1,0,0,2350,Stade Toulousain,4950,Montpellier Herault Rugby,28/03/2026,14:30,31,15,45,29,0,0,83,Stade Ernest-Wallon,-1,,20,2026,08,8,Number 8,0,,0,,1001258,Pierre Bru,1001250,Benoit Albert,1001254,Benjamin Hernandez,1001126,Jean Lespes,203,TOP 14,Y,W,0,,0,,
3,948062,0,,2350,Stade Toulousain,4.68,4.68,9,1,7,10,0,0,45,Defensive Exits,629,Carried out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,19,0,0,0,2026-03-28T13:30:29Z,1,1,1,0,0,2350,Stade Toulousain,4950,Montpellier Herault Rugby,28/03/2026,14:30,31,15,45,29,0,0,83,Stade Ernest-Wallon,-1,,20,2026,,,,0,,0,,1001258,Pierre Bru,1001250,Benoit Albert,1001254,Benjamin Hernandez,1001126,Jean Lespes,203,TOP 14,Y,W,0,,0,,
4,948062,23286,Anthony Jelonch,2350,Stade Toulousain,4.68,11.24,9,1,7,10,26,13,1,Carry,105,Restart Return,124,Penalty Conceded,109,Crossed Gain line,460,Dominant Contact,503,3 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,19,19,12,11,2026-03-28T13:30:29Z,1,1,1,0,0,2350,Stade Toulousain,4950,Montpellier Herault Rugby,28/03/2026,14:30,31,15,45,29,0,0,83,Stade Ernest-Wallon,-1,,20,2026,08,8,Number 8,0,,0,,1001258,Pierre Bru,1001250,Benoit Albert,1001254,Benjamin Hernandez,1001126,Jean Lespes,203,TOP 14,Y,W,33048,Donovan Taofifenua,4950,Montpellier Herault Rugby,8
5,948062,31695,Alexandre Becognee,4950,Montpellier Herault Rugby,7.24,7.24,11,1,85,54,0,0,2,Tackle,142,Chase,161,Missed,0,,475,Ineffective Tackle,708,1st Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2026-03-28T13:30:33Z,1,1,1,0,0,2350,Stade Toulousain,4950,Montpellier Herault Rugby,28/03/2026,14:30,31,15,45,29,0,0,83,Stade Ernest-Wallon,-1,,20,2026,07,7,Openside Flanker,0,,0,,1001258,Pierre Bru,1001250,Benoit Albert,1001254,Benjamin Hernandez,1001126,Jean Lespes,203,TOP 14,N,L,23286,Anthony Jelonch,2350,Stade Toulousain,4
6,948062,31695,Alexandre Becognee,4950,Montpellier Herault Rugby,7.24,7.24,11,1,85,54,0,0,12,Missed Tackle,162,Bumped Off,166,Tackled,0,,0,,0,,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2026-03-28T13:30:33Z,1,1,1,0,0,2350,Stade Toulousain,4950,Montpellier Herault Rugby,28/03/2026,14:30,31,15,45,29,0,0,83,Stade Ernest-Wallon,-1,,20,2026,07,7,Openside Flanker,0,,0,,1001258,Pierre Bru,1001250,Benoit Albert,1001254,Benjamin Hernandez,1001126,Jean Lespes,203,TOP 14,N,L,23286,Anthony Jelonch,2350,Stade Toulousain,4
7,948062,23286,Anthony Jelonch,2350,Stade Toulousain,7.56,7.56,12,1,15,14,0,0,10,Attacking Qualities,116,Defender Beaten,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-28T13:30:34Z,1,1,1,0,0,2350,Stade Toulousain,4950,Montpellier Herault Rugby,28/03/2026,14:30,31,15,45,29,0,0,83,Stade Ernest-Wallon,-1,,20,2026,08,8,Number 8,0,,0,,1001258,Pierre Bru,1001250,Benoit Albert,1001254,Benjamin Hernandez,1001126,Jean Lespes,203,TOP 14,Y,W,0,,0,,
8,948062,33048,Donovan Taofifenua,4950,Montpellier Herault Rugby,7.64,7.64,12,1,85,54,0,0,2,Tackle,142,Chase,160,Passive,441,Assist,475,Ineffective Tackle,709,2nd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-03-28T13:30:32Z,1,1,1,0,0,2350,Stade Toulousain,4950,Montpellier Herault Rugby,28/03/2026,14:30,31,15,45,29,0,0,83,Stade Ernest-Wallon,-1,,20,2026,14,14,Right Wing,0,,0,,1001258,Pierre Bru,1001250,Benoit Albert,1001254,Benjamin Hernandez,1001126,Jean Lespes,203,TOP 14,N,L,23286,Anthony Jelonch,2350,Stade Toulousain,4
9,948062,19685,Bastien Chalureau,4950,Montpellier Herault Rugby,9.96,9.96,14,1,85,54,0,0,2,Tackle,142,Chase,160,Passive,441,Assist,475,Ineffective Tackle,710,3rd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-03-28T13:30:34Z,1,1,1,0,0,2350,Stade Toulousain,4950,Montpellier Herault Rugby,28/03/2026,14:30,31,15,45,29,0,0,83,Stade Ernest-Wallon,-1,,20,2026,05,5,Lock (5),0,,0,,1001258,Pierre Bru,1001250,Benoit Albert,1001254,Benjamin Hernandez,1001126,Jean Lespes,203,TOP 14,N,L,23286,Anthony Jelonch,2350,Stade Toulousain,4
