ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948066,2050,,2050,Castres Olympique,0.00,7.36,0,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T19:01:03Z,0,0,0,0,0,2050,Castres Olympique,2350,Stade Toulousain,18/04/2026,21:00,19,14,25,42,0,0,92,Stade Pierre Fabre,-1,,21,2026,,,,0,,0,,1000890,Jeremy Rozier,1001258,Pierre Bru,1001159,Christophe Bultet,1000776,Herve Lasausa Labaylette,203,TOP 14,Y,L,0,,0,,
1,948066,27528,Romain Ntamack,2350,Stade Toulousain,0.00,7.36,0,1,50,34,77,57,14,Restart,281,50m Restart,285,Restart Opp Error,289,Short,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,27,36,24,0,2026-04-18T19:01:03Z,1,1,1,0,0,2050,Castres Olympique,2350,Stade Toulousain,18/04/2026,21:00,19,14,25,42,0,0,92,Stade Pierre Fabre,-1,,21,2026,10,10,Fly Half,0,,0,,1000890,Jeremy Rozier,1001258,Pierre Bru,1001159,Christophe Bultet,1000776,Herve Lasausa Labaylette,203,TOP 14,N,W,0,,0,,
2,948066,30278,Nicolas Corato,2050,Castres Olympique,4.52,4.52,4,1,23,11,0,0,7,Penalty Conceded,231,Obstruction,236,No Action,215,Defence,233,Full Penalty,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T19:01:07Z,1,1,1,0,0,2050,Castres Olympique,2350,Stade Toulousain,18/04/2026,21:00,19,14,25,42,0,0,92,Stade Pierre Fabre,-1,,21,2026,03,3,Tighthead Prop,0,,0,,1000890,Jeremy Rozier,1001258,Pierre Bru,1001159,Christophe Bultet,1000776,Herve Lasausa Labaylette,203,TOP 14,Y,L,0,,0,,
3,948066,0,,2350,Stade Toulousain,0.00,7.36,7,1,50,34,77,57,15,Possession,350,50m Restart Retained,316,Pen Won,0,,684,Fails to enter into Opposition 22,0,,0,,0,,0,,0,,0,,27,0,0,0,2026-04-18T19:01:03Z,1,1,1,0,0,2050,Castres Olympique,2350,Stade Toulousain,18/04/2026,21:00,19,14,25,42,0,0,92,Stade Pierre Fabre,-1,,21,2026,,,,0,,0,,1000890,Jeremy Rozier,1001258,Pierre Bru,1001159,Christophe Bultet,1000776,Herve Lasausa Labaylette,203,TOP 14,N,W,0,,0,,
4,948066,0,,2350,Stade Toulousain,0.00,7.36,7,1,50,34,77,57,26,Sequences,307,50m Restart,316,Pen Won,0,,0,,0,,0,,0,,0,,0,,0,,27,0,0,0,2026-04-18T19:01:03Z,1,1,1,0,0,2050,Castres Olympique,2350,Stade Toulousain,18/04/2026,21:00,19,14,25,42,0,0,92,Stade Pierre Fabre,-1,,21,2026,,,,0,,0,,1000890,Jeremy Rozier,1001258,Pierre Bru,1001159,Christophe Bultet,1000776,Herve Lasausa Labaylette,203,TOP 14,N,W,0,,0,,
5,948066,27528,Romain Ntamack,2350,Stade Toulousain,27.40,29.40,27,1,80,60,89,68,4,Kick,347,Touch Kick,193,Kick in Touch (Full),148,Penalty Kick,0,,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,9,12,0,0,2026-04-18T19:01:30Z,1,1,2,0,0,2050,Castres Olympique,2350,Stade Toulousain,18/04/2026,21:00,19,14,25,42,0,0,92,Stade Pierre Fabre,-1,,21,2026,10,10,Fly Half,0,,0,,1000890,Jeremy Rozier,1001258,Pierre Bru,1001159,Christophe Bultet,1000776,Herve Lasausa Labaylette,203,TOP 14,N,W,0,,0,,
6,948066,0,,2350,Stade Toulousain,27.40,124.52,27,1,80,60,101,25,46,Attacking 22 Entry,645,22 Entry Outcome - Try,650,22 Entry Points - Try and Conversion,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T19:01:30Z,1,1,2,0,0,2050,Castres Olympique,2350,Stade Toulousain,18/04/2026,21:00,19,14,25,42,0,0,92,Stade Pierre Fabre,-1,,21,2026,,,,0,,0,,1000890,Jeremy Rozier,1001258,Pierre Bru,1001159,Christophe Bultet,1000776,Herve Lasausa Labaylette,203,TOP 14,N,W,0,,0,,
7,948066,0,,2350,Stade Toulousain,27.40,29.40,29,1,80,60,89,68,26,Sequences,780,Penalty Kick Touch,415,Own Lineout,0,,0,,0,,0,,0,,0,,0,,0,,9,0,0,0,2026-04-18T19:01:30Z,1,1,2,0,0,2050,Castres Olympique,2350,Stade Toulousain,18/04/2026,21:00,19,14,25,42,0,0,92,Stade Pierre Fabre,-1,,21,2026,,,,0,,0,,1000890,Jeremy Rozier,1001258,Pierre Bru,1001159,Christophe Bultet,1000776,Herve Lasausa Labaylette,203,TOP 14,N,W,0,,0,,
8,948066,22521,Julien Marchand,2350,Stade Toulousain,41.36,42.12,41,1,89,68,89,61,6,Lineout Throw,371,Throw Front,376,Won Clean Catch,207,Catch and Drive,0,6+1,676,N/A Movement Lineout,731,6 Players,725,Forward at Halfback (+1),0,,0,,0,,7,0,0,0,2026-04-18T19:01:44Z,1,2,3,0,0,2050,Castres Olympique,2350,Stade Toulousain,18/04/2026,21:00,19,14,25,42,0,0,92,Stade Pierre Fabre,-1,,21,2026,02,2,Hooker,0,,0,,1000890,Jeremy Rozier,1001258,Pierre Bru,1001159,Christophe Bultet,1000776,Herve Lasausa Labaylette,203,TOP 14,N,W,24490,Alexandre Roumat,2350,Stade Toulousain,9
9,948066,24490,Alexandre Roumat,2350,Stade Toulousain,42.12,42.12,42,1,89,61,0,0,27,Lineout Take,386,Lineout Win Front,376,Won Clean,207,Catch and Drive,396,Clean Catch,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T19:01:45Z,1,2,3,0,0,2050,Castres Olympique,2350,Stade Toulousain,18/04/2026,21:00,19,14,25,42,0,0,92,Stade Pierre Fabre,-1,,21,2026,08,8,Number 8,0,,0,,1000890,Jeremy Rozier,1001258,Pierre Bru,1001159,Christophe Bultet,1000776,Herve Lasausa Labaylette,203,TOP 14,N,W,22521,Julien Marchand,2350,Stade Toulousain,8
