ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948069,47,,47,Stade Rochelais,0.00,3.40,2,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T12:31:41Z,0,0,0,0,0,47,Stade Rochelais,38,Union Bordeaux-Begles,18/04/2026,14:30,24,10,45,15,0,0,211,Stade Marcel-Deflandre,-1,,21,2026,,,,0,,0,,1001423,Kevin Bralley,1001459,Benoit Lapassade,1000946,Benoit Rousselet,1000193,Denis Grenouillet,203,TOP 14,Y,W,0,,0,,
1,948069,25076,Antoine Hastoy,47,Stade Rochelais,0.00,3.40,2,1,50,34,69,23,14,Restart,281,50m Restart,284,Restart Retained,289,Short,752,Kicked Left,796,Kick Receipt Contested,0,,0,,0,,0,,0,,19,22,11,0,2026-04-18T12:31:41Z,1,1,1,0,0,47,Stade Rochelais,38,Union Bordeaux-Begles,18/04/2026,14:30,24,10,45,15,0,0,211,Stade Marcel-Deflandre,-1,,21,2026,10,10,Fly Half,0,,0,,1001423,Kevin Bralley,1001459,Benoit Lapassade,1000946,Benoit Rousselet,1000193,Denis Grenouillet,203,TOP 14,Y,W,0,,0,,
2,948069,57333,Xan Mousques,38,Union Bordeaux-Begles,3.36,3.36,5,1,31,44,0,0,40,Defensive Action,561,Aerial Kick Contest,0,,798,Kick Receipt Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T12:31:41Z,1,1,1,0,0,47,Stade Rochelais,38,Union Bordeaux-Begles,18/04/2026,14:30,24,10,45,15,0,0,211,Stade Marcel-Deflandre,-1,,21,2026,15,15,Full Back,0,,0,,1001423,Kevin Bralley,1001459,Benoit Lapassade,1000946,Benoit Rousselet,1000193,Denis Grenouillet,203,TOP 14,N,L,0,,0,,
3,948069,57357,Charles Kante-Samba,47,Stade Rochelais,3.40,3.40,5,1,69,23,0,0,18,Collection,437,Tap Back,277,Success,798,Kick Receipt Contested,1091,Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T12:31:44Z,1,1,1,0,0,47,Stade Rochelais,38,Union Bordeaux-Begles,18/04/2026,14:30,24,10,45,15,0,0,211,Stade Marcel-Deflandre,-1,,21,2026,04,4,Lock (4),0,,0,,1001423,Kevin Bralley,1001459,Benoit Lapassade,1000946,Benoit Rousselet,1000193,Denis Grenouillet,203,TOP 14,Y,W,0,,0,,
4,948069,57357,Charles Kante-Samba,47,Stade Rochelais,3.40,4.60,5,1,69,23,66,24,3,Pass,169,Complete,0,,679,Short Pass,682,Right Pass,700,0th Receiver,0,,0,,0,,0,,0,,1,4,4,0,2026-04-18T12:31:44Z,1,1,1,0,0,47,Stade Rochelais,38,Union Bordeaux-Begles,18/04/2026,14:30,24,10,45,15,0,0,211,Stade Marcel-Deflandre,-1,,21,2026,04,4,Lock (4),0,,0,,1001423,Kevin Bralley,1001459,Benoit Lapassade,1000946,Benoit Rousselet,1000193,Denis Grenouillet,203,TOP 14,Y,W,33102,Paul Boudehent,47,Stade Rochelais,5
5,948069,33102,Paul Boudehent,47,Stade Rochelais,4.60,4.60,6,1,66,24,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T12:31:46Z,1,1,1,0,0,47,Stade Rochelais,38,Union Bordeaux-Begles,18/04/2026,14:30,24,10,45,15,0,0,211,Stade Marcel-Deflandre,-1,,21,2026,06,6,Blindside Flanker,0,,0,,1001423,Kevin Bralley,1001459,Benoit Lapassade,1000946,Benoit Rousselet,1000193,Denis Grenouillet,203,TOP 14,Y,W,0,,0,,
6,948069,33102,Paul Boudehent,47,Stade Rochelais,4.64,5.00,6,1,65,24,62,25,3,Pass,174,Incomplete,0,,679,Short Pass,682,Right Pass,701,1st Receiver,0,,0,,0,,0,,0,,1,3,3,0,2026-04-18T12:31:46Z,1,1,1,0,0,47,Stade Rochelais,38,Union Bordeaux-Begles,18/04/2026,14:30,24,10,45,15,0,0,211,Stade Marcel-Deflandre,-1,,21,2026,06,6,Blindside Flanker,0,,0,,1001423,Kevin Bralley,1001459,Benoit Lapassade,1000946,Benoit Rousselet,1000193,Denis Grenouillet,203,TOP 14,Y,W,36660,Nolann Le Garrec,47,Stade Rochelais,7
7,948069,36660,Nolann Le Garrec,47,Stade Rochelais,5.00,5.00,7,1,62,25,0,0,8,Turnover,254,Dropped Ball Unforced,677,Error on Attack,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-18T12:31:46Z,1,1,1,0,0,47,Stade Rochelais,38,Union Bordeaux-Begles,18/04/2026,14:30,24,10,45,15,0,0,211,Stade Marcel-Deflandre,-1,,21,2026,09,9,Scrum Half,0,,0,,1001423,Kevin Bralley,1001459,Benoit Lapassade,1000946,Benoit Rousselet,1000193,Denis Grenouillet,203,TOP 14,Y,W,0,,0,,
8,948069,0,,47,Stade Rochelais,0.00,9.48,11,1,50,34,62,25,15,Possession,350,50m Restart Retained,411,Turnover (Scrum),0,,684,Fails to enter into Opposition 22,0,,0,,0,,0,,0,,0,,12,0,0,0,2026-04-18T12:31:41Z,1,1,1,0,0,47,Stade Rochelais,38,Union Bordeaux-Begles,18/04/2026,14:30,24,10,45,15,0,0,211,Stade Marcel-Deflandre,-1,,21,2026,,,,0,,0,,1001423,Kevin Bralley,1001459,Benoit Lapassade,1000946,Benoit Rousselet,1000193,Denis Grenouillet,203,TOP 14,Y,W,0,,0,,
9,948069,24111,Arthur Retiere,38,Union Bordeaux-Begles,53.52,59.28,55,1,38,42,0,0,5,Scrum,410,No 8 Pass,353,Won Outright,365,Neutral,0,,661,Mid Left Open Movement Scrum,0,,0,,0,,0,,0,,0,0,-5,14,2026-04-18T12:32:34Z,1,2,2,0,0,47,Stade Rochelais,38,Union Bordeaux-Begles,18/04/2026,14:30,24,10,45,15,0,0,211,Stade Marcel-Deflandre,-1,,21,2026,09,9,Scrum Half,0,,0,,1001423,Kevin Bralley,1001459,Benoit Lapassade,1000946,Benoit Rousselet,1000193,Denis Grenouillet,203,TOP 14,N,L,0,,0,,
