ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948071,45,,45,Lyon,0.00,4.00,0,1,49,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-25T14:35:35Z,0,0,0,0,0,45,Lyon,2050,Castres Olympique,25/04/2026,16:35,5,15,26,21,0,0,7,Matmut Stadium de Gerland,-1,,22,2026,,,,0,,0,,1000438,Tual Trainini,1001830,Julien Caulier,1001211,Stephane Crapoix,193,Patrick Pechambert,203,TOP 14,Y,W,0,,0,,
1,948071,29445,Enzo Herve,2050,Castres Olympique,0.00,4.00,0,1,49,34,79,31,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,754,Kicked Straight,796,Kick Receipt Contested,0,,0,,0,,0,,0,,30,30,3,0,2026-04-25T14:35:35Z,1,0,1,0,0,45,Lyon,2050,Castres Olympique,25/04/2026,16:35,5,15,26,21,0,0,7,Matmut Stadium de Gerland,-1,,22,2026,10,10,Fly Half,0,,0,,1000438,Tual Trainini,1001830,Julien Caulier,1001211,Stephane Crapoix,193,Patrick Pechambert,203,TOP 14,N,L,0,,0,,
2,948071,37417,Adam Vargas,2050,Castres Olympique,3.88,3.88,4,1,78,29,0,0,40,Defensive Action,561,Aerial Kick Contest,0,,798,Kick Receipt Contested,1091,Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-25T14:35:35Z,1,0,1,0,0,45,Lyon,2050,Castres Olympique,25/04/2026,16:35,5,15,26,21,0,0,7,Matmut Stadium de Gerland,-1,,22,2026,11,11,Left Wing,0,,0,,1000438,Tual Trainini,1001830,Julien Caulier,1001211,Stephane Crapoix,193,Patrick Pechambert,203,TOP 14,N,L,0,,0,,
3,948071,37414,Alexandre Tchaptchet,45,Lyon,4.00,4.00,4,1,21,37,0,0,18,Collection,275,Restart Catch,278,Fail,798,Kick Receipt Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-25T14:35:39Z,1,0,1,0,0,45,Lyon,2050,Castres Olympique,25/04/2026,16:35,5,15,26,21,0,0,7,Matmut Stadium de Gerland,-1,,22,2026,15,15,Full Back,0,,0,,1000438,Tual Trainini,1001830,Julien Caulier,1001211,Stephane Crapoix,193,Patrick Pechambert,203,TOP 14,Y,W,0,,0,,
4,948071,24713,Theo Millet,45,Lyon,5.68,5.68,6,1,20,40,0,0,18,Collection,274,Defensive Loose Ball,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-25T14:35:40Z,1,1,1,0,0,45,Lyon,2050,Castres Olympique,25/04/2026,16:35,5,15,26,21,0,0,7,Matmut Stadium de Gerland,-1,,22,2026,12,12,Inside Centre,0,,0,,1000438,Tual Trainini,1001830,Julien Caulier,1001211,Stephane Crapoix,193,Patrick Pechambert,203,TOP 14,Y,W,0,,0,,
5,948071,0,,45,Lyon,5.68,5.68,6,1,20,40,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,26,0,0,0,2026-04-25T14:35:40Z,1,1,1,0,0,45,Lyon,2050,Castres Olympique,25/04/2026,16:35,5,15,26,21,0,0,7,Matmut Stadium de Gerland,-1,,22,2026,,,,0,,0,,1000438,Tual Trainini,1001830,Julien Caulier,1001211,Stephane Crapoix,193,Patrick Pechambert,203,TOP 14,Y,W,0,,0,,
6,948071,24713,Theo Millet,45,Lyon,5.68,7.52,6,1,20,40,25,43,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,5,5,2,2,2026-04-25T14:35:40Z,1,1,1,0,0,45,Lyon,2050,Castres Olympique,25/04/2026,16:35,5,15,26,21,0,0,7,Matmut Stadium de Gerland,-1,,22,2026,12,12,Inside Centre,0,,0,,1000438,Tual Trainini,1001830,Julien Caulier,1001211,Stephane Crapoix,193,Patrick Pechambert,203,TOP 14,Y,W,20437,Mathieu Babillot,2050,Castres Olympique,7
7,948071,20437,Mathieu Babillot,2050,Castres Olympique,6.32,6.32,6,1,77,25,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2026-04-25T14:35:41Z,1,1,1,0,0,45,Lyon,2050,Castres Olympique,25/04/2026,16:35,5,15,26,21,0,0,7,Matmut Stadium de Gerland,-1,,22,2026,06,6,Blindside Flanker,0,,0,,1000438,Tual Trainini,1001830,Julien Caulier,1001211,Stephane Crapoix,193,Patrick Pechambert,203,TOP 14,N,L,24713,Theo Millet,45,Lyon,6
8,948071,57305,Lois Guerois-Galisson,2050,Castres Olympique,7.48,7.48,7,1,77,25,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-04-25T14:35:43Z,1,1,1,0,0,45,Lyon,2050,Castres Olympique,25/04/2026,16:35,5,15,26,21,0,0,7,Matmut Stadium de Gerland,-1,,22,2026,01,1,Loosehead Prop,0,,0,,1000438,Tual Trainini,1001830,Julien Caulier,1001211,Stephane Crapoix,193,Patrick Pechambert,203,TOP 14,N,L,24713,Theo Millet,45,Lyon,6
9,948071,24713,Theo Millet,45,Lyon,7.52,13.20,8,1,25,43,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,557,5-6 Seconds,664,Close Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-3,9,2026-04-25T14:35:42Z,1,1,1,0,0,45,Lyon,2050,Castres Olympique,25/04/2026,16:35,5,15,26,21,0,0,7,Matmut Stadium de Gerland,-1,,22,2026,12,12,Inside Centre,0,,0,,1000438,Tual Trainini,1001830,Julien Caulier,1001211,Stephane Crapoix,193,Patrick Pechambert,203,TOP 14,Y,W,23314,Charlie Cassang,45,Lyon,13
10,948071,64489,Antoine Deliance,45,Lyon,7.72,7.72,8,1,25,43,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2026-04-25T14:35:37Z,1,1,1,0,0,45,Lyon,2050,Castres Olympique,25/04/2026,16:35,5,15,26,21,0,0,7,Matmut Stadium de Gerland,-1,,22,2026,06,6,Blindside Flanker,0,,0,,1000438,Tual Trainini,1001830,Julien Caulier,1001211,Stephane Crapoix,193,Patrick Pechambert,203,TOP 14,Y,W,0,,0,,
11,948071,36858,Theo William,45,Lyon,9.04,9.04,9,1,25,43,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2026-04-25T14:35:38Z,1,1,1,0,0,45,Lyon,2050,Castres Olympique,25/04/2026,16:35,5,15,26,21,0,0,7,Matmut Stadium de Gerland,-1,,22,2026,07,7,Openside Flanker,0,,0,,1000438,Tual Trainini,1001830,Julien Caulier,1001211,Stephane Crapoix,193,Patrick Pechambert,203,TOP 14,Y,W,0,,0,,
12,948071,40096,Irakli Aptsiauri,45,Lyon,13.12,13.12,13,1,25,43,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,,0,3,0,,0,,0,,0,,0,0,0,0,2026-04-25T14:35:42Z,1,1,1,0,0,45,Lyon,2050,Castres Olympique,25/04/2026,16:35,5,15,26,21,0,0,7,Matmut Stadium de Gerland,-1,,22,2026,03,3,Tighthead Prop,0,,0,,1000438,Tual Trainini,1001830,Julien Caulier,1001211,Stephane Crapoix,193,Patrick Pechambert,203,TOP 14,Y,W,0,,0,,
13,948071,23314,Charlie Cassang,45,Lyon,13.20,13.20,13,1,25,43,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-25T14:35:49Z,2,1,1,0,0,45,Lyon,2050,Castres Olympique,25/04/2026,16:35,5,15,26,21,0,0,7,Matmut Stadium de Gerland,-1,,22,2026,09,9,Scrum Half,0,,0,,1000438,Tual Trainini,1001830,Julien Caulier,1001211,Stephane Crapoix,193,Patrick Pechambert,203,TOP 14,Y,W,0,,0,,
14,948071,23314,Charlie Cassang,45,Lyon,13.20,13.20,13,1,25,43,0,0,47,Playmaker Options,671,Halfback at Breakdown,675,Playmaker Option - Pass,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-25T14:35:49Z,2,1,1,0,0,45,Lyon,2050,Castres Olympique,25/04/2026,16:35,5,15,26,21,0,0,7,Matmut Stadium de Gerland,-1,,22,2026,09,9,Scrum Half,0,,0,,1000438,Tual Trainini,1001830,Julien Caulier,1001211,Stephane Crapoix,193,Patrick Pechambert,203,TOP 14,Y,W,0,,0,,
