ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948083,3450,,3450,Section Paloise,0.00,2.56,3,1,49,35,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-05-09T12:30:26Z,0,0,0,0,0,3450,Section Paloise,2050,Castres Olympique,09/05/2026,14:30,10,12,27,15,0,0,375,Stade du Hameau,-1,,23,2026,,,,0,,0,,1001423,Kevin Bralley,1001250,Benoit Albert,1001477,Evan Urruzmendi,1001126,Jean Lespes,203,TOP 14,Y,W,0,,0,,
1,948083,29445,Enzo Herve,2050,Castres Olympique,0.00,2.56,3,1,49,35,65,53,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,753,Kicked Right,796,Kick Receipt Contested,0,,0,,0,,0,,0,,16,24,18,0,2026-05-09T12:30:26Z,1,0,1,0,0,3450,Section Paloise,2050,Castres Olympique,09/05/2026,14:30,10,12,27,15,0,0,375,Stade du Hameau,-1,,23,2026,10,10,Fly Half,0,,0,,1001423,Kevin Bralley,1001250,Benoit Albert,1001477,Evan Urruzmendi,1001126,Jean Lespes,203,TOP 14,N,L,0,,0,,
2,948083,59146,Fabien Brau-Boirie,3450,Section Paloise,2.52,2.52,5,1,29,17,0,0,40,Defensive Action,561,Aerial Kick Contest,0,,798,Kick Receipt Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-05-09T12:30:26Z,1,0,1,0,0,3450,Section Paloise,2050,Castres Olympique,09/05/2026,14:30,10,12,27,15,0,0,375,Stade du Hameau,-1,,23,2026,12,12,Inside Centre,0,,0,,1001423,Kevin Bralley,1001250,Benoit Albert,1001477,Evan Urruzmendi,1001126,Jean Lespes,203,TOP 14,Y,W,0,,0,,
3,948083,19959,Tyler Ardron,2050,Castres Olympique,2.56,2.56,5,1,65,53,0,0,18,Collection,437,Tap Back,278,Fail,798,Kick Receipt Contested,1091,Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-05-09T12:30:29Z,1,0,1,0,0,3450,Section Paloise,2050,Castres Olympique,09/05/2026,14:30,10,12,27,15,0,0,375,Stade du Hameau,-1,,23,2026,08,8,Number 8,0,,0,,1001423,Kevin Bralley,1001250,Benoit Albert,1001477,Evan Urruzmendi,1001126,Jean Lespes,203,TOP 14,N,L,0,,0,,
4,948083,19959,Tyler Ardron,2050,Castres Olympique,2.56,3.88,5,1,65,53,67,53,3,Pass,174,Incomplete,0,,679,Short Pass,687,Neutral Pass,700,0th Receiver,0,,0,,0,,0,,0,,0,2,2,0,2026-05-09T12:30:29Z,1,0,1,0,0,3450,Section Paloise,2050,Castres Olympique,09/05/2026,14:30,10,12,27,15,0,0,375,Stade du Hameau,-1,,23,2026,08,8,Number 8,0,,0,,1001423,Kevin Bralley,1001250,Benoit Albert,1001477,Evan Urruzmendi,1001126,Jean Lespes,203,TOP 14,N,L,0,,0,,
5,948083,59146,Fabien Brau-Boirie,3450,Section Paloise,3.88,3.88,7,1,33,15,0,0,18,Collection,274,Defensive Loose Ball,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-05-09T12:30:30Z,1,1,1,0,0,3450,Section Paloise,2050,Castres Olympique,09/05/2026,14:30,10,12,27,15,0,0,375,Stade du Hameau,-1,,23,2026,12,12,Inside Centre,0,,0,,1001423,Kevin Bralley,1001250,Benoit Albert,1001477,Evan Urruzmendi,1001126,Jean Lespes,203,TOP 14,Y,W,0,,0,,
6,948083,59146,Fabien Brau-Boirie,3450,Section Paloise,3.88,5.44,7,1,33,15,39,16,1,Carry,105,Restart Return,107,Tackled Dominant,109,Crossed Gain line,460,Dominant Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,6,6,2,2,2026-05-09T12:30:30Z,1,1,1,0,0,3450,Section Paloise,2050,Castres Olympique,09/05/2026,14:30,10,12,27,15,0,0,375,Stade du Hameau,-1,,23,2026,12,12,Inside Centre,0,,0,,1001423,Kevin Bralley,1001250,Benoit Albert,1001477,Evan Urruzmendi,1001126,Jean Lespes,203,TOP 14,Y,W,20714,Tom Staniforth,2050,Castres Olympique,7
7,948083,20714,Tom Staniforth,2050,Castres Olympique,4.56,4.56,7,1,63,52,0,0,2,Tackle,142,Chase,160,Passive,0,,475,Ineffective Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-05-09T12:30:31Z,1,1,1,0,0,3450,Section Paloise,2050,Castres Olympique,09/05/2026,14:30,10,12,27,15,0,0,375,Stade du Hameau,-1,,23,2026,05,5,Lock (5),0,,0,,1001423,Kevin Bralley,1001250,Benoit Albert,1001477,Evan Urruzmendi,1001126,Jean Lespes,203,TOP 14,N,L,59146,Fabien Brau-Boirie,3450,Section Paloise,6
8,948083,30278,Nicolas Corato,2050,Castres Olympique,4.72,4.72,7,1,63,52,0,0,2,Tackle,142,Chase,160,Passive,441,Assist,475,Ineffective Tackle,709,2nd Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2026-05-09T12:30:31Z,1,1,1,0,0,3450,Section Paloise,2050,Castres Olympique,09/05/2026,14:30,10,12,27,15,0,0,375,Stade du Hameau,-1,,23,2026,03,3,Tighthead Prop,0,,0,,1001423,Kevin Bralley,1001250,Benoit Albert,1001477,Evan Urruzmendi,1001126,Jean Lespes,203,TOP 14,N,L,59146,Fabien Brau-Boirie,3450,Section Paloise,6
9,948083,59146,Fabien Brau-Boirie,3450,Section Paloise,5.44,7.40,8,1,39,16,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,553,1-2 Seconds,664,Close Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,0,4,2026-05-09T12:30:32Z,1,1,1,0,0,3450,Section Paloise,2050,Castres Olympique,09/05/2026,14:30,10,12,27,15,0,0,375,Stade du Hameau,-1,,23,2026,12,12,Inside Centre,0,,0,,1001423,Kevin Bralley,1001250,Benoit Albert,1001477,Evan Urruzmendi,1001126,Jean Lespes,203,TOP 14,Y,W,27324,Thomas Laclayat,3450,Section Paloise,13
