ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948104,47,,47,Stade Rochelais,0.00,3.64,3,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-06-06T19:05:26Z,0,0,0,0,0,47,Stade Rochelais,1600,Stade Francais Paris,06/06/2026,21:05,7,12,27,22,0,0,211,Stade Marcel-Deflandre,-1,,26,2026,,,,0,,0,,1000489,Thomas Charabas,1000328,Stephane Boyer,1000545,Pierre Brousset,1000568,Julien Castaignede,203,TOP 14,Y,W,0,,0,,
1,948104,37436,Louis Foursans-Bourdette,1600,Stade Francais Paris,0.00,3.64,3,1,50,34,69,8,14,Restart,281,50m Restart,287,Restart Own Error,289,Short,752,Kicked Left,796,Kick Receipt Contested,0,,0,,0,,0,,0,,20,33,26,0,2026-06-06T19:05:26Z,1,0,1,0,0,47,Stade Rochelais,1600,Stade Francais Paris,06/06/2026,21:05,7,12,27,22,0,0,211,Stade Marcel-Deflandre,-1,,26,2026,10,10,Fly Half,0,,0,,1000489,Thomas Charabas,1000328,Stephane Boyer,1000545,Pierre Brousset,1000568,Julien Castaignede,203,TOP 14,N,L,0,,0,,
2,948104,57357,Charles Kante-Samba,47,Stade Rochelais,3.52,3.52,6,1,30,61,0,0,40,Defensive Action,561,Aerial Kick Contest,0,,798,Kick Receipt Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-06-06T19:05:26Z,1,0,1,0,0,47,Stade Rochelais,1600,Stade Francais Paris,06/06/2026,21:05,7,12,27,22,0,0,211,Stade Marcel-Deflandre,-1,,26,2026,04,4,Lock (4),0,,0,,1000489,Thomas Charabas,1000328,Stephane Boyer,1000545,Pierre Brousset,1000568,Julien Castaignede,203,TOP 14,Y,W,0,,0,,
3,948104,22057,Joe Marchant,1600,Stade Francais Paris,3.64,3.64,6,1,69,8,0,0,18,Collection,437,Tap Back,278,Fail,798,Kick Receipt Contested,1091,Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-06-06T19:05:30Z,1,0,1,0,0,47,Stade Rochelais,1600,Stade Francais Paris,06/06/2026,21:05,7,12,27,22,0,0,211,Stade Marcel-Deflandre,-1,,26,2026,11,11,Left Wing,0,,0,,1000489,Thomas Charabas,1000328,Stephane Boyer,1000545,Pierre Brousset,1000568,Julien Castaignede,203,TOP 14,N,L,0,,0,,
4,948104,22057,Joe Marchant,1600,Stade Francais Paris,3.64,4.80,6,1,69,8,70,11,3,Pass,174,Incomplete,0,,679,Short Pass,682,Right Pass,700,0th Receiver,0,,0,,0,,0,,0,,2,3,1,0,2026-06-06T19:05:30Z,1,0,1,0,0,47,Stade Rochelais,1600,Stade Francais Paris,06/06/2026,21:05,7,12,27,22,0,0,211,Stade Marcel-Deflandre,-1,,26,2026,11,11,Left Wing,0,,0,,1000489,Thomas Charabas,1000328,Stephane Boyer,1000545,Pierre Brousset,1000568,Julien Castaignede,203,TOP 14,N,L,30068,Pierre-Henri Azagoh,1600,Stade Francais Paris,5
5,948104,30068,Pierre-Henri Azagoh,1600,Stade Francais Paris,4.80,4.80,8,1,70,11,0,0,8,Turnover,254,Dropped Ball Unforced,677,Error on Attack,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-06-06T19:05:31Z,1,0,1,0,0,47,Stade Rochelais,1600,Stade Francais Paris,06/06/2026,21:05,7,12,27,22,0,0,211,Stade Marcel-Deflandre,-1,,26,2026,04,4,Lock (4),0,,0,,1000489,Thomas Charabas,1000328,Stephane Boyer,1000545,Pierre Brousset,1000568,Julien Castaignede,203,TOP 14,N,L,0,,0,,
6,948104,0,,1600,Stade Francais Paris,0.00,5.76,9,1,50,34,71,11,26,Sequences,307,50m Restart,411,Turnover (Scrum),0,,0,,0,,0,,0,,0,,0,,0,,21,0,0,0,2026-06-06T19:05:26Z,1,0,1,0,0,47,Stade Rochelais,1600,Stade Francais Paris,06/06/2026,21:05,7,12,27,22,0,0,211,Stade Marcel-Deflandre,-1,,26,2026,,,,0,,0,,1000489,Thomas Charabas,1000328,Stephane Boyer,1000545,Pierre Brousset,1000568,Julien Castaignede,203,TOP 14,N,L,0,,0,,
7,948104,36660,Nolann Le Garrec,47,Stade Rochelais,53.40,61.12,56,1,29,57,0,0,5,Scrum,0,,357,Won Penalty,365,Neutral,0,,676,N/A Movement Scrum,0,,0,,0,,0,,0,,0,0,0,0,2026-06-06T19:06:22Z,1,0,2,0,0,47,Stade Rochelais,1600,Stade Francais Paris,06/06/2026,21:05,7,12,27,22,0,0,211,Stade Marcel-Deflandre,-1,,26,2026,09,9,Scrum Half,0,,0,,1000489,Thomas Charabas,1000328,Stephane Boyer,1000545,Pierre Brousset,1000568,Julien Castaignede,203,TOP 14,Y,W,0,,0,,
8,948104,31662,Reda Wardi,47,Stade Rochelais,53.40,61.12,56,1,29,57,0,0,28,,0,,357,Won Penalty,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-06-06T19:06:22Z,1,0,2,0,0,47,Stade Rochelais,1600,Stade Francais Paris,06/06/2026,21:05,7,12,27,22,0,0,211,Stade Marcel-Deflandre,-1,,26,2026,01,1,Loosehead Prop,0,,0,,1000489,Thomas Charabas,1000328,Stephane Boyer,1000545,Pierre Brousset,1000568,Julien Castaignede,203,TOP 14,Y,W,0,,0,,
9,948104,19815,Tolu Latu,47,Stade Rochelais,53.40,61.12,56,1,29,57,0,0,28,,0,,357,Won Penalty,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-06-06T19:06:22Z,1,0,2,0,0,47,Stade Rochelais,1600,Stade Francais Paris,06/06/2026,21:05,7,12,27,22,0,0,211,Stade Marcel-Deflandre,-1,,26,2026,02,2,Hooker,0,,0,,1000489,Thomas Charabas,1000328,Stephane Boyer,1000545,Pierre Brousset,1000568,Julien Castaignede,203,TOP 14,Y,W,0,,0,,
