ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948105,38,,38,Union Bordeaux-Begles,0.00,4.20,0,1,49,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-06-06T19:05:19Z,0,0,0,0,0,38,Union Bordeaux-Begles,2250,ASM Clermont Auvergne,06/06/2026,21:05,24,14,31,34,0,0,3,Stade Chaban-Delmas,-1,,26,2026,,,,0,,0,,1000438,Tual Trainini,1000838,Thomas Chereque,1000565,Luc Ramos,191,Eric Gauzins,203,TOP 14,Y,L,0,,0,,
1,948105,39685,Hugo Reus,38,Union Bordeaux-Begles,0.00,4.20,0,1,49,34,84,8,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,36,45,27,0,2026-06-06T19:05:19Z,1,0,1,0,0,38,Union Bordeaux-Begles,2250,ASM Clermont Auvergne,06/06/2026,21:05,24,14,31,34,0,0,3,Stade Chaban-Delmas,-1,,26,2026,10,10,Fly Half,0,,0,,1000438,Tual Trainini,1000838,Thomas Chereque,1000565,Luc Ramos,191,Eric Gauzins,203,TOP 14,Y,L,0,,0,,
2,948105,34463,Alivereti Loaloa,2250,ASM Clermont Auvergne,4.20,4.20,4,1,16,60,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-06-06T19:05:23Z,1,1,1,0,0,38,Union Bordeaux-Begles,2250,ASM Clermont Auvergne,06/06/2026,21:05,24,14,31,34,0,0,3,Stade Chaban-Delmas,-1,,26,2026,13,13,Outside Centre,0,,0,,1000438,Tual Trainini,1000838,Thomas Chereque,1000565,Luc Ramos,191,Eric Gauzins,203,TOP 14,N,W,0,,0,,
3,948105,0,,2250,ASM Clermont Auvergne,4.20,4.20,4,1,16,60,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,41,0,0,0,2026-06-06T19:05:23Z,1,1,1,0,0,38,Union Bordeaux-Begles,2250,ASM Clermont Auvergne,06/06/2026,21:05,24,14,31,34,0,0,3,Stade Chaban-Delmas,-1,,26,2026,,,,0,,0,,1000438,Tual Trainini,1000838,Thomas Chereque,1000565,Luc Ramos,191,Eric Gauzins,203,TOP 14,N,W,0,,0,,
4,948105,34463,Alivereti Loaloa,2250,ASM Clermont Auvergne,4.20,7.76,4,1,16,60,14,60,1,Carry,105,Restart Return,409,Tackled Ineffective,111,Failed Gain line,462,Ineffective Contact,503,3 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,0,0,0,0,2026-06-06T19:05:23Z,1,1,1,0,0,38,Union Bordeaux-Begles,2250,ASM Clermont Auvergne,06/06/2026,21:05,24,14,31,34,0,0,3,Stade Chaban-Delmas,-1,,26,2026,13,13,Outside Centre,0,,0,,1000438,Tual Trainini,1000838,Thomas Chereque,1000565,Luc Ramos,191,Eric Gauzins,203,TOP 14,N,W,38612,Louis Bielle-Biarrey,38,Union Bordeaux-Begles,5
5,948105,38612,Louis Bielle-Biarrey,38,Union Bordeaux-Begles,5.08,5.08,5,1,85,7,0,0,2,Tackle,142,Chase,159,Sack,0,,473,Dominant Tackle,708,1st Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2026-06-06T19:05:24Z,1,1,1,0,0,38,Union Bordeaux-Begles,2250,ASM Clermont Auvergne,06/06/2026,21:05,24,14,31,34,0,0,3,Stade Chaban-Delmas,-1,,26,2026,11,11,Left Wing,0,,0,,1000438,Tual Trainini,1000838,Thomas Chereque,1000565,Luc Ramos,191,Eric Gauzins,203,TOP 14,Y,L,34463,Alivereti Loaloa,2250,ASM Clermont Auvergne,4
6,948105,33471,Bastien Vergnes-Taillefer,38,Union Bordeaux-Begles,6.72,6.72,7,1,85,7,0,0,2,Tackle,142,Chase,159,Sack,441,Assist,473,Dominant Tackle,709,2nd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-06-06T19:05:26Z,1,1,1,0,0,38,Union Bordeaux-Begles,2250,ASM Clermont Auvergne,06/06/2026,21:05,24,14,31,34,0,0,3,Stade Chaban-Delmas,-1,,26,2026,06,6,Blindside Flanker,0,,0,,1000438,Tual Trainini,1000838,Thomas Chereque,1000565,Luc Ramos,191,Eric Gauzins,203,TOP 14,Y,L,34463,Alivereti Loaloa,2250,ASM Clermont Auvergne,4
7,948105,19430,Jefferson Poirot,38,Union Bordeaux-Begles,6.80,6.80,7,1,85,7,0,0,2,Tackle,142,Chase,159,Sack,441,Assist,473,Dominant Tackle,710,3rd Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2026-06-06T19:05:26Z,1,1,1,0,0,38,Union Bordeaux-Begles,2250,ASM Clermont Auvergne,06/06/2026,21:05,24,14,31,34,0,0,3,Stade Chaban-Delmas,-1,,26,2026,01,1,Loosehead Prop,0,,0,,1000438,Tual Trainini,1000838,Thomas Chereque,1000565,Luc Ramos,191,Eric Gauzins,203,TOP 14,Y,L,34463,Alivereti Loaloa,2250,ASM Clermont Auvergne,4
8,948105,34463,Alivereti Loaloa,2250,ASM Clermont Auvergne,7.76,12.60,8,1,14,60,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,556,4-5 Seconds,663,Close Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-11,5,2026-06-06T19:05:26Z,1,1,1,0,0,38,Union Bordeaux-Begles,2250,ASM Clermont Auvergne,06/06/2026,21:05,24,14,31,34,0,0,3,Stade Chaban-Delmas,-1,,26,2026,13,13,Outside Centre,0,,0,,1000438,Tual Trainini,1000838,Thomas Chereque,1000565,Luc Ramos,191,Eric Gauzins,203,TOP 14,N,W,37269,Baptiste Jauneau,2250,ASM Clermont Auvergne,12
9,948105,33044,Thibaud Lanen,2250,ASM Clermont Auvergne,7.80,7.80,8,1,14,60,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2026-06-06T19:05:21Z,1,1,1,0,0,38,Union Bordeaux-Begles,2250,ASM Clermont Auvergne,06/06/2026,21:05,24,14,31,34,0,0,3,Stade Chaban-Delmas,-1,,26,2026,04,4,Lock (4),0,,0,,1000438,Tual Trainini,1000838,Thomas Chereque,1000565,Luc Ramos,191,Eric Gauzins,203,TOP 14,N,W,0,,0,,
