ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,949219,250,,250,Queensland Reds,0.00,4.00,4,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-27T08:35:46Z,0,0,0,0,0,250,Queensland Reds,95,Highlanders,27/02/2026,18:35,19,7,31,14,0,0,49,Suncorp Stadium,-1,,3,2026,,,,0,,0,,1000536,Nic Berry,1000544,Jordan Way,1001568,Louis Trisley,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,0,,0,,
1,949219,40107,Cameron Millar,95,Highlanders,0.00,4.00,4,1,50,34,70,58,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,20,31,24,0,2026-02-27T08:35:46Z,1,0,1,0,0,250,Queensland Reds,95,Highlanders,27/02/2026,18:35,19,7,31,14,0,0,49,Suncorp Stadium,-1,,3,2026,10,10,Fly Half,0,,0,,1000536,Nic Berry,1000544,Jordan Way,1001568,Louis Trisley,1000594,Brett Cronan,205,Super Rugby Pacific,N,L,0,,0,,
2,949219,32235,Josh Canham,250,Queensland Reds,2.44,2.44,6,1,34,10,0,0,40,Defensive Action,561,Aerial Kick Contest,0,,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-27T08:35:44Z,1,0,1,0,0,250,Queensland Reds,95,Highlanders,27/02/2026,18:35,19,7,31,14,0,0,49,Suncorp Stadium,-1,,3,2026,04,4,Lock (4),0,,0,,1000536,Nic Berry,1000544,Jordan Way,1001568,Louis Trisley,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,0,,0,,
3,949219,27748,Hunter Paisami,250,Queensland Reds,4.00,4.00,8,1,30,10,0,0,18,Collection,275,Restart Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-27T08:35:50Z,1,1,1,0,0,250,Queensland Reds,95,Highlanders,27/02/2026,18:35,19,7,31,14,0,0,49,Suncorp Stadium,-1,,3,2026,12,12,Inside Centre,0,,0,,1000536,Nic Berry,1000544,Jordan Way,1001568,Louis Trisley,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,0,,0,,
4,949219,27748,Hunter Paisami,250,Queensland Reds,4.00,7.12,8,1,30,10,33,11,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,3,3,2,2,2026-02-27T08:35:50Z,1,1,1,0,0,250,Queensland Reds,95,Highlanders,27/02/2026,18:35,19,7,31,14,0,0,49,Suncorp Stadium,-1,,3,2026,12,12,Inside Centre,0,,0,,1000536,Nic Berry,1000544,Jordan Way,1001568,Louis Trisley,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,55977,Caleb Tangitau,95,Highlanders,5
5,949219,55977,Caleb Tangitau,95,Highlanders,5.16,5.16,9,1,69,57,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-02-27T08:35:52Z,1,1,1,0,0,250,Queensland Reds,95,Highlanders,27/02/2026,18:35,19,7,31,14,0,0,49,Suncorp Stadium,-1,,3,2026,14,14,Right Wing,0,,0,,1000536,Nic Berry,1000544,Jordan Way,1001568,Louis Trisley,1000594,Brett Cronan,205,Super Rugby Pacific,N,L,27748,Hunter Paisami,250,Queensland Reds,4
6,949219,27748,Hunter Paisami,250,Queensland Reds,7.12,10.96,11,1,33,11,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,555,3-4 Seconds,664,Close Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,1,3,2026-02-27T08:35:54Z,1,1,1,0,0,250,Queensland Reds,95,Highlanders,27/02/2026,18:35,19,7,31,14,0,0,49,Suncorp Stadium,-1,,3,2026,12,12,Inside Centre,0,,0,,1000536,Nic Berry,1000544,Jordan Way,1001568,Louis Trisley,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,56414,Louis Werchon,250,Queensland Reds,9
7,949219,59762,Tim Ryan,250,Queensland Reds,7.84,7.84,12,1,33,11,0,0,43,Ruck OOA,575,Attended,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2026-02-27T08:35:51Z,1,1,1,0,0,250,Queensland Reds,95,Highlanders,27/02/2026,18:35,19,7,31,14,0,0,49,Suncorp Stadium,-1,,3,2026,11,11,Left Wing,0,,0,,1000536,Nic Berry,1000544,Jordan Way,1001568,Louis Trisley,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,0,,0,,
8,949219,35572,Joe Brial,250,Queensland Reds,7.96,7.96,12,1,33,11,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2026-02-27T08:35:51Z,1,1,1,0,0,250,Queensland Reds,95,Highlanders,27/02/2026,18:35,19,7,31,14,0,0,49,Suncorp Stadium,-1,,3,2026,06,6,Blindside Flanker,0,,0,,1000536,Nic Berry,1000544,Jordan Way,1001568,Louis Trisley,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,0,,0,,
9,949219,56414,Louis Werchon,250,Queensland Reds,10.96,10.96,15,1,33,11,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-27T08:35:57Z,2,1,1,0,0,250,Queensland Reds,95,Highlanders,27/02/2026,18:35,19,7,31,14,0,0,49,Suncorp Stadium,-1,,3,2026,09,9,Scrum Half,0,,0,,1000536,Nic Berry,1000544,Jordan Way,1001568,Louis Trisley,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,0,,0,,
