ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,949222,150,,150,ACT Brumbies,0.00,2.76,1,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-28T08:35:27Z,0,0,0,0,0,150,ACT Brumbies,93,Blues,28/02/2026,19:35,15,15,30,27,0,0,43,GIO Stadium,-1,,3,2026,,,,0,,0,,271,Angus Gardner,1001545,George Myers,1000613,Matthew Kellahan,1000499,Graham Cooper,205,Super Rugby Pacific,Y,W,0,,0,,
1,949222,24946,Stephen Perofeta,93,Blues,0.00,2.76,1,1,50,34,63,66,14,Restart,281,50m Restart,287,Restart Own Error,289,Short,753,Kicked Right,796,Kick Receipt Contested,0,,0,,0,,0,,0,,13,36,33,0,2026-02-28T08:35:27Z,1,0,1,0,0,150,ACT Brumbies,93,Blues,28/02/2026,19:35,15,15,30,27,0,0,43,GIO Stadium,-1,,3,2026,10,10,Fly Half,0,,0,,271,Angus Gardner,1001545,George Myers,1000613,Matthew Kellahan,1000499,Graham Cooper,205,Super Rugby Pacific,N,L,0,,0,,
2,949222,28156,Caleb Clarke,93,Blues,2.76,2.76,4,1,63,66,0,0,18,Collection,275,Restart Catch,278,Fail,798,Kick Receipt Contested,1091,Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-28T08:35:30Z,1,0,1,0,0,150,ACT Brumbies,93,Blues,28/02/2026,19:35,15,15,30,27,0,0,43,GIO Stadium,-1,,3,2026,11,11,Left Wing,0,,0,,271,Angus Gardner,1001545,George Myers,1000613,Matthew Kellahan,1000499,Graham Cooper,205,Super Rugby Pacific,N,L,0,,0,,
3,949222,28156,Caleb Clarke,93,Blues,2.92,2.92,4,1,63,66,0,0,8,Turnover,253,Carried in Touch,677,Error on Attack,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-28T08:35:30Z,1,0,1,0,0,150,ACT Brumbies,93,Blues,28/02/2026,19:35,15,15,30,27,0,0,43,GIO Stadium,-1,,3,2026,11,11,Left Wing,0,,0,,271,Angus Gardner,1001545,George Myers,1000613,Matthew Kellahan,1000499,Graham Cooper,205,Super Rugby Pacific,N,L,0,,0,,
4,949222,34987,Ollie Sapsford,150,ACT Brumbies,3.24,3.24,4,1,38,3,0,0,40,Defensive Action,561,Aerial Kick Contest,0,,798,Kick Receipt Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-28T08:35:30Z,1,0,1,0,0,150,ACT Brumbies,93,Blues,28/02/2026,19:35,15,15,30,27,0,0,43,GIO Stadium,-1,,3,2026,14,14,Right Wing,0,,0,,271,Angus Gardner,1001545,George Myers,1000613,Matthew Kellahan,1000499,Graham Cooper,205,Super Rugby Pacific,Y,W,0,,0,,
5,949222,0,,93,Blues,0.00,3.80,5,1,50,34,66,68,26,Sequences,307,50m Restart,318,Turnover,0,,0,,0,,0,,0,,0,,0,,0,,16,0,0,0,2026-02-28T08:35:27Z,1,0,1,0,0,150,ACT Brumbies,93,Blues,28/02/2026,19:35,15,15,30,27,0,0,43,GIO Stadium,-1,,3,2026,,,,0,,0,,271,Angus Gardner,1001545,George Myers,1000613,Matthew Kellahan,1000499,Graham Cooper,205,Super Rugby Pacific,N,L,0,,0,,
6,949222,32078,Billy Pollard,150,ACT Brumbies,33.28,34.08,34,1,34,0,34,5,6,Lineout Throw,371,Throw Front,376,Won Clean Catch,211,Off The Top,0,5,662,Mid Right Open Movement Lineout,730,5 Players,724,Halfback in Position,0,,0,,0,,5,0,-7,19,2026-02-28T08:36:00Z,1,1,2,0,0,150,ACT Brumbies,93,Blues,28/02/2026,19:35,15,15,30,27,0,0,43,GIO Stadium,-1,,3,2026,02,2,Hooker,0,,0,,271,Angus Gardner,1001545,George Myers,1000613,Matthew Kellahan,1000499,Graham Cooper,205,Super Rugby Pacific,Y,W,61370,Lachlan Shaw,150,ACT Brumbies,7
7,949222,61370,Lachlan Shaw,150,ACT Brumbies,34.08,34.08,35,1,34,5,0,0,27,Lineout Take,386,Lineout Win Front,376,Won Clean,211,Off The Top,396,Clean Catch,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-28T08:36:01Z,1,1,2,0,0,150,ACT Brumbies,93,Blues,28/02/2026,19:35,15,15,30,27,0,0,43,GIO Stadium,-1,,3,2026,04,4,Lock (4),0,,0,,271,Angus Gardner,1001545,George Myers,1000613,Matthew Kellahan,1000499,Graham Cooper,205,Super Rugby Pacific,Y,W,32078,Billy Pollard,150,ACT Brumbies,6
8,949222,61370,Lachlan Shaw,150,ACT Brumbies,34.52,35.60,36,1,34,5,28,8,3,Pass,174,Incomplete,0,,679,Short Pass,682,Right Pass,700,0th Receiver,0,,0,,0,,0,,0,,3,7,6,0,2026-02-28T08:36:01Z,1,1,2,0,0,150,ACT Brumbies,93,Blues,28/02/2026,19:35,15,15,30,27,0,0,43,GIO Stadium,-1,,3,2026,04,4,Lock (4),0,,0,,271,Angus Gardner,1001545,George Myers,1000613,Matthew Kellahan,1000499,Graham Cooper,205,Super Rugby Pacific,Y,W,27287,Ryan Lonergan,150,ACT Brumbies,9
9,949222,27287,Ryan Lonergan,150,ACT Brumbies,35.60,35.60,37,1,28,8,0,0,18,Collection,272,Attacking Loose Ball,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-28T08:36:02Z,1,1,2,0,0,150,ACT Brumbies,93,Blues,28/02/2026,19:35,15,15,30,27,0,0,43,GIO Stadium,-1,,3,2026,09,9,Scrum Half,0,,0,,271,Angus Gardner,1001545,George Myers,1000613,Matthew Kellahan,1000499,Graham Cooper,205,Super Rugby Pacific,Y,W,0,,0,,
10,949222,27287,Ryan Lonergan,150,ACT Brumbies,36.64,37.64,38,1,25,10,18,20,3,Pass,169,Complete,0,,686,Medium Pass,682,Right Pass,701,1st Receiver,0,,0,,0,,0,,0,,11,13,8,0,2026-02-28T08:36:03Z,1,1,2,0,0,150,ACT Brumbies,93,Blues,28/02/2026,19:35,15,15,30,27,0,0,43,GIO Stadium,-1,,3,2026,09,9,Scrum Half,0,,0,,271,Angus Gardner,1001545,George Myers,1000613,Matthew Kellahan,1000499,Graham Cooper,205,Super Rugby Pacific,Y,W,56357,Declan Meredith,150,ACT Brumbies,11
11,949222,56357,Declan Meredith,150,ACT Brumbies,37.64,37.64,39,1,18,20,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-28T08:36:04Z,1,1,2,0,0,150,ACT Brumbies,93,Blues,28/02/2026,19:35,15,15,30,27,0,0,43,GIO Stadium,-1,,3,2026,10,10,Fly Half,0,,0,,271,Angus Gardner,1001545,George Myers,1000613,Matthew Kellahan,1000499,Graham Cooper,205,Super Rugby Pacific,Y,W,0,,0,,
12,949222,0,,150,ACT Brumbies,37.64,37.64,39,1,18,20,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,28,0,0,0,2026-02-28T08:36:04Z,1,1,2,0,0,150,ACT Brumbies,93,Blues,28/02/2026,19:35,15,15,30,27,0,0,43,GIO Stadium,-1,,3,2026,,,,0,,0,,271,Angus Gardner,1001545,George Myers,1000613,Matthew Kellahan,1000499,Graham Cooper,205,Super Rugby Pacific,Y,W,0,,0,,
13,949222,56357,Declan Meredith,150,ACT Brumbies,37.68,37.92,39,1,19,21,18,24,3,Pass,169,Complete,0,,679,Short Pass,682,Right Pass,702,2nd Receiver,0,,0,,0,,0,,0,,3,3,1,0,2026-02-28T08:36:04Z,1,1,2,0,0,150,ACT Brumbies,93,Blues,28/02/2026,19:35,15,15,30,27,0,0,43,GIO Stadium,-1,,3,2026,10,10,Fly Half,0,,0,,271,Angus Gardner,1001545,George Myers,1000613,Matthew Kellahan,1000499,Graham Cooper,205,Super Rugby Pacific,Y,W,11161,James Slipper,150,ACT Brumbies,14
14,949222,11161,James Slipper,150,ACT Brumbies,37.92,37.92,39,1,18,24,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-02-28T08:36:05Z,1,1,2,0,0,150,ACT Brumbies,93,Blues,28/02/2026,19:35,15,15,30,27,0,0,43,GIO Stadium,-1,,3,2026,01,1,Loosehead Prop,0,,0,,271,Angus Gardner,1001545,George Myers,1000613,Matthew Kellahan,1000499,Graham Cooper,205,Super Rugby Pacific,Y,W,0,,0,,
