ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,949224,200,,200,NSW Waratahs,0.00,3.68,2,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-06T08:35:59Z,0,0,0,0,0,200,NSW Waratahs,94,Hurricanes,06/03/2026,19:35,12,17,19,59,0,0,41,Allianz Stadium,-1,,4,2026,,,,0,,0,,1000678,James Doleman,1001276,Fraser Hannon,1001153,Dan Moore,123,James Leckie,205,Super Rugby Pacific,Y,L,0,,0,,
1,949224,34971,Callum Harkin,94,Hurricanes,0.00,3.68,2,1,50,34,85,21,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,35,38,14,0,2026-03-06T08:35:59Z,1,0,1,0,0,200,NSW Waratahs,94,Hurricanes,06/03/2026,19:35,12,17,19,59,0,0,41,Allianz Stadium,-1,,4,2026,10,10,Fly Half,0,,0,,1000678,James Doleman,1001276,Fraser Hannon,1001153,Dan Moore,123,James Leckie,205,Super Rugby Pacific,N,W,0,,0,,
2,949224,22275,Jake Gordon,200,NSW Waratahs,3.68,3.68,6,1,15,47,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-06T08:36:01Z,1,1,1,0,0,200,NSW Waratahs,94,Hurricanes,06/03/2026,19:35,12,17,19,59,0,0,41,Allianz Stadium,-1,,4,2026,09,9,Scrum Half,0,,0,,1000678,James Doleman,1001276,Fraser Hannon,1001153,Dan Moore,123,James Leckie,205,Super Rugby Pacific,Y,L,0,,0,,
3,949224,0,,200,NSW Waratahs,3.68,3.68,6,1,15,47,0,0,45,Defensive Exits,628,Failed Exit From 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,0,0,0,2026-03-06T08:36:01Z,1,1,1,0,0,200,NSW Waratahs,94,Hurricanes,06/03/2026,19:35,12,17,19,59,0,0,41,Allianz Stadium,-1,,4,2026,,,,0,,0,,1000678,James Doleman,1001276,Fraser Hannon,1001153,Dan Moore,123,James Leckie,205,Super Rugby Pacific,Y,L,0,,0,,
4,949224,22275,Jake Gordon,200,NSW Waratahs,3.68,6.00,6,1,15,47,20,48,1,Carry,105,Restart Return,124,Penalty Conceded,109,Crossed Gain line,460,Dominant Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,5,5,2,1,2026-03-06T08:36:01Z,1,1,1,0,0,200,NSW Waratahs,94,Hurricanes,06/03/2026,19:35,12,17,19,59,0,0,41,Allianz Stadium,-1,,4,2026,09,9,Scrum Half,0,,0,,1000678,James Doleman,1001276,Fraser Hannon,1001153,Dan Moore,123,James Leckie,205,Super Rugby Pacific,Y,L,24998,Isaia Walker-Leawere,94,Hurricanes,8
5,949224,24947,Jordie Barrett,94,Hurricanes,4.76,4.76,7,1,83,19,0,0,2,Tackle,142,Chase,161,Missed,0,,475,Ineffective Tackle,708,1st Tackler,0,,0,,0,,0,,0,,0,0,0,0,2026-03-06T08:36:02Z,1,1,1,0,0,200,NSW Waratahs,94,Hurricanes,06/03/2026,19:35,12,17,19,59,0,0,41,Allianz Stadium,-1,,4,2026,12,12,Inside Centre,0,,0,,1000678,James Doleman,1001276,Fraser Hannon,1001153,Dan Moore,123,James Leckie,205,Super Rugby Pacific,N,W,22275,Jake Gordon,200,NSW Waratahs,4
6,949224,24947,Jordie Barrett,94,Hurricanes,4.76,4.76,7,1,83,19,0,0,12,Missed Tackle,165,Positional,166,Tackled,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-06T08:36:02Z,1,1,1,0,0,200,NSW Waratahs,94,Hurricanes,06/03/2026,19:35,12,17,19,59,0,0,41,Allianz Stadium,-1,,4,2026,12,12,Inside Centre,0,,0,,1000678,James Doleman,1001276,Fraser Hannon,1001153,Dan Moore,123,James Leckie,205,Super Rugby Pacific,N,W,22275,Jake Gordon,200,NSW Waratahs,4
7,949224,22275,Jake Gordon,200,NSW Waratahs,4.92,4.92,7,1,18,49,0,0,10,Attacking Qualities,116,Defender Beaten,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-06T08:36:02Z,1,1,1,0,0,200,NSW Waratahs,94,Hurricanes,06/03/2026,19:35,12,17,19,59,0,0,41,Allianz Stadium,-1,,4,2026,09,9,Scrum Half,0,,0,,1000678,James Doleman,1001276,Fraser Hannon,1001153,Dan Moore,123,James Leckie,205,Super Rugby Pacific,Y,L,0,,0,,
8,949224,24998,Isaia Walker-Leawere,94,Hurricanes,5.44,5.44,8,1,81,20,0,0,2,Tackle,142,Chase,160,Passive,441,Assist,475,Ineffective Tackle,709,2nd Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2026-03-06T08:36:03Z,1,1,1,0,0,200,NSW Waratahs,94,Hurricanes,06/03/2026,19:35,12,17,19,59,0,0,41,Allianz Stadium,-1,,4,2026,05,5,Lock (5),0,,0,,1000678,James Doleman,1001276,Fraser Hannon,1001153,Dan Moore,123,James Leckie,205,Super Rugby Pacific,N,W,22275,Jake Gordon,200,NSW Waratahs,4
9,949224,22275,Jake Gordon,200,NSW Waratahs,6.00,8.76,8,1,20,48,0,0,23,Ruck,0,,404,Penalty Conceded,551,N/A Gainline,559,N/A Ruck Speed,676,N/A Movement Ruck,0,,0,,0,,0,,0,,0,0,0,0,2026-03-06T08:36:04Z,1,1,1,0,0,200,NSW Waratahs,94,Hurricanes,06/03/2026,19:35,12,17,19,59,0,0,41,Allianz Stadium,-1,,4,2026,09,9,Scrum Half,0,,0,,1000678,James Doleman,1001276,Fraser Hannon,1001153,Dan Moore,123,James Leckie,205,Super Rugby Pacific,Y,L,0,,0,,
