ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,949226,93,,93,Blues,0.00,3.68,1,1,50,33,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-07T06:05:47Z,0,0,0,0,0,93,Blues,96,Crusaders,07/03/2026,19:05,19,13,29,13,0,0,58,Eden Park,-1,,4,2026,,,,0,,0,,1000536,Nic Berry,1000968,Marcus Playle,1001568,Louis Trisley,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,0,,0,,
1,949226,32987,Rivez Reihana,96,Crusaders,0.00,3.68,1,1,50,33,76,62,14,Restart,281,50m Restart,284,Restart Retained,289,Short,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,26,40,30,0,2026-03-07T06:05:47Z,1,1,1,0,0,93,Blues,96,Crusaders,07/03/2026,19:05,19,13,29,13,0,0,58,Eden Park,-1,,4,2026,10,10,Fly Half,0,,0,,1000536,Nic Berry,1000968,Marcus Playle,1001568,Louis Trisley,1000580,Aaron Paterson,205,Super Rugby Pacific,N,L,0,,0,,
2,949226,32977,Chay Fihaki,96,Crusaders,3.68,3.68,5,1,76,62,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1091,Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-07T06:05:51Z,1,1,1,0,0,93,Blues,96,Crusaders,07/03/2026,19:05,19,13,29,13,0,0,58,Eden Park,-1,,4,2026,14,14,Right Wing,0,,0,,1000536,Nic Berry,1000968,Marcus Playle,1001568,Louis Trisley,1000580,Aaron Paterson,205,Super Rugby Pacific,N,L,0,,0,,
3,949226,32977,Chay Fihaki,96,Crusaders,3.68,5.92,5,1,76,62,87,63,1,Carry,103,Other Carry,107,Tackled Dominant,109,Crossed Gain line,460,Dominant Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,11,11,3,3,2026-03-07T06:05:51Z,1,1,1,0,0,93,Blues,96,Crusaders,07/03/2026,19:05,19,13,29,13,0,0,58,Eden Park,-1,,4,2026,14,14,Right Wing,0,,0,,1000536,Nic Berry,1000968,Marcus Playle,1001568,Louis Trisley,1000580,Aaron Paterson,205,Super Rugby Pacific,N,L,26219,Finlay Christie,93,Blues,5
4,949226,0,,96,Crusaders,4.84,130.68,6,1,83,63,83,39,46,Attacking 22 Entry,642,22 Entry Outcome - Penalty Goal Attempt,648,22 Entry Points - Penalty Goal,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-07T06:05:52Z,1,1,1,0,0,93,Blues,96,Crusaders,07/03/2026,19:05,19,13,29,13,0,0,58,Eden Park,-1,,4,2026,,,,0,,0,,1000536,Nic Berry,1000968,Marcus Playle,1001568,Louis Trisley,1000580,Aaron Paterson,205,Super Rugby Pacific,N,L,0,,0,,
5,949226,26219,Finlay Christie,93,Blues,4.96,4.96,6,1,17,5,0,0,2,Tackle,146,Edge,160,Passive,0,,475,Ineffective Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2026-03-07T06:05:52Z,1,1,1,0,0,93,Blues,96,Crusaders,07/03/2026,19:05,19,13,29,13,0,0,58,Eden Park,-1,,4,2026,09,9,Scrum Half,0,,0,,1000536,Nic Berry,1000968,Marcus Playle,1001568,Louis Trisley,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,32977,Chay Fihaki,96,Crusaders,3
6,949226,32977,Chay Fihaki,96,Crusaders,5.92,8.80,7,1,87,63,0,0,23,Ruck,0,,401,Won Outright,548,Over Previous Gainline,554,2-3 Seconds,661,Mid Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-2,12,2026-03-07T06:05:53Z,1,1,1,0,0,93,Blues,96,Crusaders,07/03/2026,19:05,19,13,29,13,0,0,58,Eden Park,-1,,4,2026,14,14,Right Wing,0,,0,,1000536,Nic Berry,1000968,Marcus Playle,1001568,Louis Trisley,1000580,Aaron Paterson,205,Super Rugby Pacific,N,L,39117,Noah Hotham,96,Crusaders,11
7,949226,26898,Ethan Blackadder,96,Crusaders,7.80,7.80,9,1,87,63,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2026-03-07T06:05:55Z,1,1,1,0,0,93,Blues,96,Crusaders,07/03/2026,19:05,19,13,29,13,0,0,58,Eden Park,-1,,4,2026,07,7,Openside Flanker,0,,0,,1000536,Nic Berry,1000968,Marcus Playle,1001568,Louis Trisley,1000580,Aaron Paterson,205,Super Rugby Pacific,N,L,0,,0,,
8,949226,30783,Leicester Fainga'anuku,96,Crusaders,8.04,8.04,9,1,87,63,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2026-03-07T06:05:55Z,1,1,1,0,0,93,Blues,96,Crusaders,07/03/2026,19:05,19,13,29,13,0,0,58,Eden Park,-1,,4,2026,13,13,Outside Centre,0,,0,,1000536,Nic Berry,1000968,Marcus Playle,1001568,Louis Trisley,1000580,Aaron Paterson,205,Super Rugby Pacific,N,L,0,,0,,
9,949226,34997,Antonio Shalfoon,96,Crusaders,8.28,8.28,9,1,87,63,0,0,43,Ruck OOA,575,Attended,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,,0,3,0,,0,,0,,0,,0,0,0,0,2026-03-07T06:05:55Z,1,1,1,0,0,93,Blues,96,Crusaders,07/03/2026,19:05,19,13,29,13,0,0,58,Eden Park,-1,,4,2026,04,4,Lock (4),0,,0,,1000536,Nic Berry,1000968,Marcus Playle,1001568,Louis Trisley,1000580,Aaron Paterson,205,Super Rugby Pacific,N,L,0,,0,,
