ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,949229,441,,441,Fijian Drua,0.00,3.72,1,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-14T03:35:27Z,0,0,0,0,0,441,Fijian Drua,150,ACT Brumbies,14/03/2026,15:35,20,12,42,27,0,0,1610,Four R Stadium,-1,,5,2026,,,,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,0,,0,,
1,949229,32086,Tane Edmed,150,ACT Brumbies,0.00,3.72,1,1,50,34,79,18,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,29,33,16,0,2026-03-14T03:35:27Z,1,0,1,0,0,441,Fijian Drua,150,ACT Brumbies,14/03/2026,15:35,20,12,42,27,0,0,1610,Four R Stadium,-1,,5,2026,10,10,Fly Half,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,N,L,0,,0,,
2,949229,32824,Ilaisa Droasese,441,Fijian Drua,3.72,3.72,5,1,21,50,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-14T03:35:31Z,1,1,1,0,0,441,Fijian Drua,150,ACT Brumbies,14/03/2026,15:35,20,12,42,27,0,0,1610,Four R Stadium,-1,,5,2026,15,15,Full Back,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,0,,0,,
3,949229,0,,441,Fijian Drua,3.72,3.72,5,1,21,50,0,0,45,Defensive Exits,629,Carried out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,33,0,0,0,2026-03-14T03:35:31Z,1,1,1,0,0,441,Fijian Drua,150,ACT Brumbies,14/03/2026,15:35,20,12,42,27,0,0,1610,Four R Stadium,-1,,5,2026,,,,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,0,,0,,
4,949229,32824,Ilaisa Droasese,441,Fijian Drua,3.72,6.44,5,1,21,50,25,47,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,4,4,0,0,2026-03-14T03:35:31Z,1,1,1,0,0,441,Fijian Drua,150,ACT Brumbies,14/03/2026,15:35,20,12,42,27,0,0,1610,Four R Stadium,-1,,5,2026,15,15,Full Back,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,61291,Lington Ieli,150,ACT Brumbies,5
5,949229,61291,Lington Ieli,150,ACT Brumbies,5.32,5.32,6,1,75,21,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2026-03-14T03:35:32Z,1,1,1,0,0,441,Fijian Drua,150,ACT Brumbies,14/03/2026,15:35,20,12,42,27,0,0,1610,Four R Stadium,-1,,5,2026,01,1,Loosehead Prop,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,N,L,32824,Ilaisa Droasese,441,Fijian Drua,4
6,949229,59776,Toby MacPherson,150,ACT Brumbies,5.80,5.80,7,1,75,21,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-03-14T03:35:33Z,1,1,1,0,0,441,Fijian Drua,150,ACT Brumbies,14/03/2026,15:35,20,12,42,27,0,0,1610,Four R Stadium,-1,,5,2026,05,5,Lock (5),0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,N,L,32824,Ilaisa Droasese,441,Fijian Drua,4
7,949229,32824,Ilaisa Droasese,441,Fijian Drua,6.44,11.56,8,1,25,47,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,557,5-6 Seconds,676,N/A Movement Ruck,0,,0,,0,,0,,0,,0,0,0,0,2026-03-14T03:35:33Z,1,1,1,0,0,441,Fijian Drua,150,ACT Brumbies,14/03/2026,15:35,20,12,42,27,0,0,1610,Four R Stadium,-1,,5,2026,15,15,Full Back,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,28519,Frank Lomani,441,Fijian Drua,12
8,949229,56377,Motikiai Murray,441,Fijian Drua,6.56,6.56,8,1,25,47,0,0,43,Ruck OOA,572,Cleaned Out,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2026-03-14T03:35:28Z,1,1,1,0,0,441,Fijian Drua,150,ACT Brumbies,14/03/2026,15:35,20,12,42,27,0,0,1610,Four R Stadium,-1,,5,2026,07,7,Openside Flanker,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,0,,0,,
9,949229,31483,Haereiti Hetet,441,Fijian Drua,8.60,8.60,10,1,25,47,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2026-03-14T03:35:30Z,1,1,1,0,0,441,Fijian Drua,150,ACT Brumbies,14/03/2026,15:35,20,12,42,27,0,0,1610,Four R Stadium,-1,,5,2026,01,1,Loosehead Prop,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,0,,0,,
10,949229,34647,Elia Canakaivata,441,Fijian Drua,9.12,9.12,10,1,25,47,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,,0,3,0,,0,,0,,0,,0,0,0,0,2026-03-14T03:35:31Z,1,1,1,0,0,441,Fijian Drua,150,ACT Brumbies,14/03/2026,15:35,20,12,42,27,0,0,1610,Four R Stadium,-1,,5,2026,08,8,Number 8,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,0,,0,,
11,949229,59776,Toby MacPherson,150,ACT Brumbies,9.80,9.80,11,1,75,21,0,0,43,Ruck OOA,800,Other Defensive Arrival,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,802,Counter Ruck Attempt,0,4,0,,0,,0,,0,,0,0,0,0,2026-03-14T03:35:32Z,1,1,1,0,0,441,Fijian Drua,150,ACT Brumbies,14/03/2026,15:35,20,12,42,27,0,0,1610,Four R Stadium,-1,,5,2026,05,5,Lock (5),0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,N,L,0,,0,,
12,949229,28519,Frank Lomani,441,Fijian Drua,11.56,11.56,13,1,25,47,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-14T03:35:39Z,2,1,1,0,0,441,Fijian Drua,150,ACT Brumbies,14/03/2026,15:35,20,12,42,27,0,0,1610,Four R Stadium,-1,,5,2026,09,9,Scrum Half,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,0,,0,,
13,949229,28519,Frank Lomani,441,Fijian Drua,11.56,11.56,13,1,25,47,0,0,47,Playmaker Options,671,Halfback at Breakdown,674,Playmaker Option - Kick,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-14T03:35:39Z,2,1,1,0,0,441,Fijian Drua,150,ACT Brumbies,14/03/2026,15:35,20,12,42,27,0,0,1610,Four R Stadium,-1,,5,2026,09,9,Scrum Half,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,0,,0,,
14,949229,28519,Frank Lomani,441,Fijian Drua,12.04,16.48,13,1,24,47,54,51,4,Kick,346,Box,198,Caught Full,185,Kick in Play,0,,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,31,31,0,0,2026-03-14T03:35:39Z,2,1,1,0,0,441,Fijian Drua,150,ACT Brumbies,14/03/2026,15:35,20,12,42,27,0,0,1610,Four R Stadium,-1,,5,2026,09,9,Scrum Half,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,0,,0,,
15,949229,0,,441,Fijian Drua,3.72,16.48,18,1,21,50,54,51,15,Possession,307,50m Restart,351,Kick in Play,0,,684,Fails to enter into Opposition 22,0,,0,,0,,0,,0,,0,,33,0,0,0,2026-03-14T03:35:31Z,2,1,1,0,0,441,Fijian Drua,150,ACT Brumbies,14/03/2026,15:35,20,12,42,27,0,0,1610,Four R Stadium,-1,,5,2026,,,,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,0,,0,,
16,949229,21988,Andy Muirhead,150,ACT Brumbies,16.48,16.48,18,1,46,17,0,0,18,Collection,273,Defensive Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-14T03:35:44Z,1,2,1,0,0,441,Fijian Drua,150,ACT Brumbies,14/03/2026,15:35,20,12,42,27,0,0,1610,Four R Stadium,-1,,5,2026,15,15,Full Back,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,N,L,0,,0,,
17,949229,21988,Andy Muirhead,150,ACT Brumbies,16.48,18.72,18,1,46,17,49,20,1,Carry,104,Kick Return,122,Off Load,109,Crossed Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,3,3,0,0,2026-03-14T03:35:44Z,1,2,1,0,0,441,Fijian Drua,150,ACT Brumbies,14/03/2026,15:35,20,12,42,27,0,0,1610,Four R Stadium,-1,,5,2026,15,15,Full Back,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,N,L,62542,Joji Nasova,441,Fijian Drua,18
18,949229,62542,Joji Nasova,441,Fijian Drua,18.44,18.44,20,1,51,48,0,0,2,Tackle,142,Chase,155,Offload Allowed,0,,474,Neutral Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2026-03-14T03:35:46Z,1,2,1,0,0,441,Fijian Drua,150,ACT Brumbies,14/03/2026,15:35,20,12,42,27,0,0,1610,Four R Stadium,-1,,5,2026,14,14,Right Wing,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,21988,Andy Muirhead,150,ACT Brumbies,17
19,949229,21988,Andy Muirhead,150,ACT Brumbies,18.72,19.84,20,1,49,20,47,18,3,Pass,151,Offload,128,Own Player,679,Short Pass,681,Left Pass,700,0th Receiver,0,,0,,0,,0,,0,,3,3,2,0,2026-03-14T03:35:46Z,1,2,1,0,0,441,Fijian Drua,150,ACT Brumbies,14/03/2026,15:35,20,12,42,27,0,0,1610,Four R Stadium,-1,,5,2026,15,15,Full Back,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,N,L,35781,Klayton Thorn,150,ACT Brumbies,20
20,949229,35781,Klayton Thorn,150,ACT Brumbies,19.84,19.84,21,1,47,18,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-14T03:35:47Z,1,2,1,0,0,441,Fijian Drua,150,ACT Brumbies,14/03/2026,15:35,20,12,42,27,0,0,1610,Four R Stadium,-1,,5,2026,09,9,Scrum Half,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,N,L,0,,0,,
21,949229,35781,Klayton Thorn,150,ACT Brumbies,19.88,21.36,21,1,47,18,46,14,3,Pass,169,Complete,0,,679,Short Pass,681,Left Pass,701,1st Receiver,0,,0,,0,,0,,0,,4,4,1,0,2026-03-14T03:35:47Z,1,2,1,0,0,441,Fijian Drua,150,ACT Brumbies,14/03/2026,15:35,20,12,42,27,0,0,1610,Four R Stadium,-1,,5,2026,09,9,Scrum Half,0,,0,,1000504,Paul Williams,1000498,Angus Mabey,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,N,L,32078,Billy Pollard,150,ACT Brumbies,22
