ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,949232,93,,93,Blues,0.00,4.08,1,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-15T02:35:23Z,0,0,0,0,0,93,Blues,3600,Moana Pasifika,15/03/2026,15:35,15,7,43,7,0,0,58,Eden Park,-1,,5,2026,,,,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,227,Glenn Newman,205,Super Rugby Pacific,Y,W,0,,0,,
1,949232,11612,Beauden Barrett,93,Blues,0.00,4.08,1,1,50,34,83,56,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,33,40,22,0,2026-03-15T02:35:23Z,1,0,1,0,0,93,Blues,3600,Moana Pasifika,15/03/2026,15:35,15,7,43,7,0,0,58,Eden Park,-1,,5,2026,10,10,Fly Half,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,227,Glenn Newman,205,Super Rugby Pacific,Y,W,0,,0,,
2,949232,39118,William Havili,3600,Moana Pasifika,4.08,4.08,5,1,17,12,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-15T02:35:27Z,1,1,1,0,0,93,Blues,3600,Moana Pasifika,15/03/2026,15:35,15,7,43,7,0,0,58,Eden Park,-1,,5,2026,15,15,Full Back,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,227,Glenn Newman,205,Super Rugby Pacific,N,L,0,,0,,
3,949232,0,,3600,Moana Pasifika,4.08,4.08,5,1,17,12,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,36,0,0,0,2026-03-15T02:35:27Z,1,1,1,0,0,93,Blues,3600,Moana Pasifika,15/03/2026,15:35,15,7,43,7,0,0,58,Eden Park,-1,,5,2026,,,,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,227,Glenn Newman,205,Super Rugby Pacific,N,L,0,,0,,
4,949232,39118,William Havili,3600,Moana Pasifika,4.92,5.52,6,1,17,14,13,20,3,Pass,169,Complete,0,,686,Medium Pass,682,Right Pass,700,0th Receiver,0,,0,,0,,0,,0,,6,7,4,0,2026-03-15T02:35:28Z,1,1,1,0,0,93,Blues,3600,Moana Pasifika,15/03/2026,15:35,15,7,43,7,0,0,58,Eden Park,-1,,5,2026,15,15,Full Back,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,227,Glenn Newman,205,Super Rugby Pacific,N,L,60047,Semisi Tupou Ta'eiloa,3600,Moana Pasifika,5
5,949232,60047,Semisi Tupou Ta'eiloa,3600,Moana Pasifika,5.52,5.52,6,1,13,20,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-15T02:35:29Z,1,1,1,0,0,93,Blues,3600,Moana Pasifika,15/03/2026,15:35,15,7,43,7,0,0,58,Eden Park,-1,,5,2026,08,8,Number 8,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,227,Glenn Newman,205,Super Rugby Pacific,N,L,0,,0,,
6,949232,60047,Semisi Tupou Ta'eiloa,3600,Moana Pasifika,5.52,7.48,6,1,13,20,19,19,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,701,1st Receiver,0,,0,,0,,0,,2,6,0,0,2026-03-15T02:35:29Z,1,1,1,0,0,93,Blues,3600,Moana Pasifika,15/03/2026,15:35,15,7,43,7,0,0,58,Eden Park,-1,,5,2026,08,8,Number 8,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,227,Glenn Newman,205,Super Rugby Pacific,N,L,32970,Sam Darry,93,Blues,7
7,949232,32970,Sam Darry,93,Blues,6.40,6.40,7,1,82,49,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-03-15T02:35:30Z,1,1,1,0,0,93,Blues,3600,Moana Pasifika,15/03/2026,15:35,15,7,43,7,0,0,58,Eden Park,-1,,5,2026,05,5,Lock (5),0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,227,Glenn Newman,205,Super Rugby Pacific,Y,W,60047,Semisi Tupou Ta'eiloa,3600,Moana Pasifika,6
8,949232,23586,Kurt Eklund,93,Blues,6.76,6.76,8,1,82,49,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2026-03-15T02:35:30Z,1,1,1,0,0,93,Blues,3600,Moana Pasifika,15/03/2026,15:35,15,7,43,7,0,0,58,Eden Park,-1,,5,2026,02,2,Hooker,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,227,Glenn Newman,205,Super Rugby Pacific,Y,W,60047,Semisi Tupou Ta'eiloa,3600,Moana Pasifika,6
9,949232,60047,Semisi Tupou Ta'eiloa,3600,Moana Pasifika,7.48,10.80,8,1,19,19,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,555,3-4 Seconds,665,Close Left Blindside Movement Ruck,0,,0,,0,,0,,0,,0,0,-9,2,2026-03-15T02:35:31Z,1,1,1,0,0,93,Blues,3600,Moana Pasifika,15/03/2026,15:35,15,7,43,7,0,0,58,Eden Park,-1,,5,2026,08,8,Number 8,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,227,Glenn Newman,205,Super Rugby Pacific,N,L,10545,Augustine Pulu,3600,Moana Pasifika,12
