ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,949235,441,,441,Fijian Drua,0.00,2.96,0,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-21T03:35:19Z,0,0,0,0,0,441,Fijian Drua,250,Queensland Reds,21/03/2026,15:35,6,7,6,21,0,0,72,Churchill Park,-1,,6,2026,,,,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,227,Glenn Newman,205,Super Rugby Pacific,Y,L,0,,0,,
1,949235,28869,Jock Campbell,250,Queensland Reds,0.00,2.96,0,1,50,34,83,49,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,33,36,15,0,2026-03-21T03:35:19Z,1,0,1,0,0,441,Fijian Drua,250,Queensland Reds,21/03/2026,15:35,6,7,6,21,0,0,72,Churchill Park,-1,,6,2026,15,15,Full Back,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,227,Glenn Newman,205,Super Rugby Pacific,N,W,0,,0,,
2,949235,28519,Frank Lomani,441,Fijian Drua,2.96,2.96,3,1,17,19,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-21T03:35:22Z,1,1,1,0,0,441,Fijian Drua,250,Queensland Reds,21/03/2026,15:35,6,7,6,21,0,0,72,Churchill Park,-1,,6,2026,09,9,Scrum Half,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,227,Glenn Newman,205,Super Rugby Pacific,Y,L,0,,0,,
3,949235,0,,441,Fijian Drua,2.96,2.96,3,1,17,19,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,26,0,0,0,2026-03-21T03:35:22Z,1,1,1,0,0,441,Fijian Drua,250,Queensland Reds,21/03/2026,15:35,6,7,6,21,0,0,72,Churchill Park,-1,,6,2026,,,,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,227,Glenn Newman,205,Super Rugby Pacific,Y,L,0,,0,,
4,949235,28519,Frank Lomani,441,Fijian Drua,2.96,3.08,3,1,17,19,18,19,1,Carry,105,Restart Return,210,Penalty Won,109,Crossed Gain line,462,Ineffective Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,1,0,0,0,2026-03-21T03:35:22Z,1,1,1,0,0,441,Fijian Drua,250,Queensland Reds,21/03/2026,15:35,6,7,6,21,0,0,72,Churchill Park,-1,,6,2026,09,9,Scrum Half,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,227,Glenn Newman,205,Super Rugby Pacific,Y,L,28868,Filipo Daugunu,250,Queensland Reds,5
5,949235,28868,Filipo Daugunu,250,Queensland Reds,3.16,3.16,3,1,82,49,0,0,2,Tackle,142,Chase,157,Pen Conceded,0,,473,Dominant Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-03-21T03:35:23Z,1,1,1,0,0,441,Fijian Drua,250,Queensland Reds,21/03/2026,15:35,6,7,6,21,0,0,72,Churchill Park,-1,,6,2026,14,14,Right Wing,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,227,Glenn Newman,205,Super Rugby Pacific,N,W,28519,Frank Lomani,441,Fijian Drua,4
6,949235,28868,Filipo Daugunu,250,Queensland Reds,3.56,3.56,3,1,83,49,0,0,7,Penalty Conceded,228,Foul Play - High Tackle,236,No Action,215,Defence,233,Full Penalty,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-21T03:35:23Z,1,1,1,0,0,441,Fijian Drua,250,Queensland Reds,21/03/2026,15:35,6,7,6,21,0,0,72,Churchill Park,-1,,6,2026,14,14,Right Wing,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,227,Glenn Newman,205,Super Rugby Pacific,N,W,0,,0,,
7,949235,0,,250,Queensland Reds,0.00,6.56,6,1,50,34,84,50,26,Sequences,307,50m Restart,316,Pen Won,0,,0,,0,,0,,0,,0,,0,,0,,34,0,0,0,2026-03-21T03:35:19Z,1,1,1,0,0,441,Fijian Drua,250,Queensland Reds,21/03/2026,15:35,6,7,6,21,0,0,72,Churchill Park,-1,,6,2026,,,,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,227,Glenn Newman,205,Super Rugby Pacific,N,W,0,,0,,
8,949235,0,,441,Fijian Drua,2.96,6.56,6,1,17,19,16,18,15,Possession,307,50m Restart,316,Pen Won,0,,684,Fails to enter into Opposition 22,0,,0,,0,,0,,0,,0,,-1,0,0,0,2026-03-21T03:35:22Z,1,1,1,0,0,441,Fijian Drua,250,Queensland Reds,21/03/2026,15:35,6,7,6,21,0,0,72,Churchill Park,-1,,6,2026,,,,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,227,Glenn Newman,205,Super Rugby Pacific,Y,L,0,,0,,
9,949235,35870,Isaiah Armstrong-Ravula,441,Fijian Drua,28.08,30.40,28,1,16,19,43,0,4,Kick,347,Touch Kick,193,Kick in Touch (Full),148,Penalty Kick,0,,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,27,33,0,0,2026-03-21T03:35:47Z,1,1,2,0,0,441,Fijian Drua,250,Queensland Reds,21/03/2026,15:35,6,7,6,21,0,0,72,Churchill Park,-1,,6,2026,10,10,Fly Half,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,227,Glenn Newman,205,Super Rugby Pacific,Y,L,0,,0,,
10,949235,0,,441,Fijian Drua,28.08,30.40,30,1,16,19,43,0,26,Sequences,780,Penalty Kick Touch,415,Own Lineout,0,,0,,0,,0,,0,,0,,0,,0,,27,0,0,0,2026-03-21T03:35:47Z,1,1,2,0,0,441,Fijian Drua,250,Queensland Reds,21/03/2026,15:35,6,7,6,21,0,0,72,Churchill Park,-1,,6,2026,,,,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,227,Glenn Newman,205,Super Rugby Pacific,Y,L,0,,0,,
