ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,949237,200,,200,NSW Waratahs,0.00,3.84,4,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-21T08:35:40Z,0,0,0,0,0,200,NSW Waratahs,93,Blues,21/03/2026,19:35,17,8,20,35,0,0,41,Allianz Stadium,-1,,6,2026,,,,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001718,Jeremy Markey,123,James Leckie,205,Super Rugby Pacific,Y,L,0,,0,,
1,949237,11612,Beauden Barrett,93,Blues,0.00,3.84,4,1,50,34,80,58,14,Restart,281,50m Restart,285,Restart Opp Error,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,30,39,25,0,2026-03-21T08:35:40Z,1,1,1,0,0,200,NSW Waratahs,93,Blues,21/03/2026,19:35,17,8,20,35,0,0,41,Allianz Stadium,-1,,6,2026,10,10,Fly Half,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001718,Jeremy Markey,123,James Leckie,205,Super Rugby Pacific,N,W,0,,0,,
2,949237,21783,Matt Philip,200,NSW Waratahs,3.84,3.84,8,1,20,10,0,0,18,Collection,275,Restart Catch,278,Fail,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-21T08:35:44Z,1,1,1,0,0,200,NSW Waratahs,93,Blues,21/03/2026,19:35,17,8,20,35,0,0,41,Allianz Stadium,-1,,6,2026,04,4,Lock (4),0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001718,Jeremy Markey,123,James Leckie,205,Super Rugby Pacific,Y,L,0,,0,,
3,949237,30667,Lawson Creighton,200,NSW Waratahs,4.24,4.24,8,1,17,4,0,0,18,Collection,274,Defensive Loose Ball,278,Fail,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-21T08:35:44Z,1,1,1,0,0,200,NSW Waratahs,93,Blues,21/03/2026,19:35,17,8,20,35,0,0,41,Allianz Stadium,-1,,6,2026,12,12,Inside Centre,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001718,Jeremy Markey,123,James Leckie,205,Super Rugby Pacific,Y,L,0,,0,,
4,949237,30667,Lawson Creighton,200,NSW Waratahs,4.28,4.28,8,1,16,7,0,0,8,Turnover,254,Dropped Ball Unforced,678,Error on Defence,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-21T08:35:44Z,1,1,1,0,0,200,NSW Waratahs,93,Blues,21/03/2026,19:35,17,8,20,35,0,0,41,Allianz Stadium,-1,,6,2026,12,12,Inside Centre,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001718,Jeremy Markey,123,James Leckie,205,Super Rugby Pacific,Y,L,0,,0,,
5,949237,57757,Max Jorgensen,200,NSW Waratahs,5.52,5.52,9,1,18,6,0,0,7,Penalty Conceded,230,Other Offence,236,No Action,215,Defence,235,Free Kick,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-21T08:35:45Z,1,1,1,0,0,200,NSW Waratahs,93,Blues,21/03/2026,19:35,17,8,20,35,0,0,41,Allianz Stadium,-1,,6,2026,11,11,Left Wing,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001718,Jeremy Markey,123,James Leckie,205,Super Rugby Pacific,Y,L,0,,0,,
6,949237,0,,93,Blues,0.00,6.92,11,1,50,34,83,62,15,Possession,350,50m Restart Retained,318,Turnover,0,,684,Fails to enter into Opposition 22,0,,0,,0,,0,,0,,0,,33,0,0,0,2026-03-21T08:35:40Z,1,1,1,0,0,200,NSW Waratahs,93,Blues,21/03/2026,19:35,17,8,20,35,0,0,41,Allianz Stadium,-1,,6,2026,,,,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001718,Jeremy Markey,123,James Leckie,205,Super Rugby Pacific,N,W,0,,0,,
7,949237,0,,93,Blues,0.00,6.92,11,1,50,34,83,62,26,Sequences,307,50m Restart,320,Other,0,,0,,0,,0,,0,,0,,0,,0,,33,0,0,0,2026-03-21T08:35:40Z,1,1,1,0,0,200,NSW Waratahs,93,Blues,21/03/2026,19:35,17,8,20,35,0,0,41,Allianz Stadium,-1,,6,2026,,,,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001718,Jeremy Markey,123,James Leckie,205,Super Rugby Pacific,N,W,0,,0,,
8,949237,0,,93,Blues,14.84,137.80,19,1,82,60,101,49,46,Attacking 22 Entry,645,22 Entry Outcome - Try,651,22 Entry Points -  Try without Conversion,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-21T08:35:55Z,1,2,2,0,0,200,NSW Waratahs,93,Blues,21/03/2026,19:35,17,8,20,35,0,0,41,Allianz Stadium,-1,,6,2026,,,,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001718,Jeremy Markey,123,James Leckie,205,Super Rugby Pacific,N,W,0,,0,,
9,949237,26219,Finlay Christie,93,Blues,16.36,16.36,20,1,82,60,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-21T08:35:56Z,1,2,2,0,0,200,NSW Waratahs,93,Blues,21/03/2026,19:35,17,8,20,35,0,0,41,Allianz Stadium,-1,,6,2026,09,9,Scrum Half,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001718,Jeremy Markey,123,James Leckie,205,Super Rugby Pacific,N,W,0,,0,,
