ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,949240,94,,94,Hurricanes,0.00,3.96,1,1,50,36,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-28T03:35:32Z,0,0,0,0,0,94,Hurricanes,250,Queensland Reds,28/03/2026,16:35,24,14,52,14,0,0,61,Hnry Stadium,-1,,7,2026,,,,0,,0,,1000498,Angus Mabey,1000504,Paul Williams,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,0,,0,,
1,949240,24947,Jordie Barrett,94,Hurricanes,0.00,3.96,1,1,50,36,80,3,14,Restart,281,50m Restart,284,Restart Retained,288,Long,752,Kicked Left,796,Kick Receipt Contested,0,,0,,0,,0,,0,,30,45,34,0,2026-03-28T03:35:32Z,1,1,1,0,0,94,Hurricanes,250,Queensland Reds,28/03/2026,16:35,24,14,52,14,0,0,61,Hnry Stadium,-1,,7,2026,12,12,Inside Centre,0,,0,,1000498,Angus Mabey,1000504,Paul Williams,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,0,,0,,
2,949240,35572,Joe Brial,250,Queensland Reds,3.36,3.36,4,1,23,66,0,0,40,Defensive Action,561,Aerial Kick Contest,0,,798,Kick Receipt Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-28T03:35:31Z,1,1,1,0,0,94,Hurricanes,250,Queensland Reds,28/03/2026,16:35,24,14,52,14,0,0,61,Hnry Stadium,-1,,7,2026,06,6,Blindside Flanker,0,,0,,1000498,Angus Mabey,1000504,Paul Williams,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,N,L,0,,0,,
3,949240,25509,Harry Wilson,250,Queensland Reds,3.80,3.80,4,1,22,66,0,0,40,Defensive Action,561,Aerial Kick Contest,0,,798,Kick Receipt Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-28T03:35:31Z,1,1,1,0,0,94,Hurricanes,250,Queensland Reds,28/03/2026,16:35,24,14,52,14,0,0,61,Hnry Stadium,-1,,7,2026,08,8,Number 8,0,,0,,1000498,Angus Mabey,1000504,Paul Williams,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,N,L,0,,0,,
4,949240,58845,Fehi Fineanganofo,94,Hurricanes,3.96,3.96,5,1,80,3,0,0,18,Collection,275,Restart Catch,277,Success,798,Kick Receipt Contested,1091,Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-28T03:35:36Z,1,1,1,0,0,94,Hurricanes,250,Queensland Reds,28/03/2026,16:35,24,14,52,14,0,0,61,Hnry Stadium,-1,,7,2026,11,11,Left Wing,0,,0,,1000498,Angus Mabey,1000504,Paul Williams,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,0,,0,,
5,949240,58845,Fehi Fineanganofo,94,Hurricanes,3.96,7.56,5,1,80,3,84,4,1,Carry,103,Other Carry,107,Tackled Dominant,109,Crossed Gain line,460,Dominant Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,4,4,3,3,2026-03-28T03:35:36Z,1,1,1,0,0,94,Hurricanes,250,Queensland Reds,28/03/2026,16:35,24,14,52,14,0,0,61,Hnry Stadium,-1,,7,2026,11,11,Left Wing,0,,0,,1000498,Angus Mabey,1000504,Paul Williams,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,28868,Filipo Daugunu,250,Queensland Reds,7
6,949240,0,,94,Hurricanes,3.96,142.60,5,1,80,3,84,62,46,Attacking 22 Entry,646,22 Entry Outcome - Turnover,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-03-28T03:35:36Z,1,1,1,0,0,94,Hurricanes,250,Queensland Reds,28/03/2026,16:35,24,14,52,14,0,0,61,Hnry Stadium,-1,,7,2026,,,,0,,0,,1000498,Angus Mabey,1000504,Paul Williams,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,0,,0,,
7,949240,28868,Filipo Daugunu,250,Queensland Reds,5.88,5.88,7,1,19,65,0,0,2,Tackle,146,Edge,160,Passive,0,,475,Ineffective Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-03-28T03:35:38Z,1,1,1,0,0,94,Hurricanes,250,Queensland Reds,28/03/2026,16:35,24,14,52,14,0,0,61,Hnry Stadium,-1,,7,2026,14,14,Right Wing,0,,0,,1000498,Angus Mabey,1000504,Paul Williams,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,N,L,58845,Fehi Fineanganofo,94,Hurricanes,5
8,949240,34228,Seru Uru,250,Queensland Reds,6.48,6.48,7,1,19,65,0,0,2,Tackle,146,Edge,160,Passive,441,Assist,475,Ineffective Tackle,709,2nd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-03-28T03:35:39Z,1,1,1,0,0,94,Hurricanes,250,Queensland Reds,28/03/2026,16:35,24,14,52,14,0,0,61,Hnry Stadium,-1,,7,2026,04,4,Lock (4),0,,0,,1000498,Angus Mabey,1000504,Paul Williams,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,N,L,58845,Fehi Fineanganofo,94,Hurricanes,5
9,949240,58845,Fehi Fineanganofo,94,Hurricanes,7.56,15.76,8,1,84,4,0,0,23,Ruck,0,,401,Won Outright,548,Over Previous Gainline,558,6+ Seconds,664,Close Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,2,7,2026-03-28T03:35:40Z,1,1,1,0,0,94,Hurricanes,250,Queensland Reds,28/03/2026,16:35,24,14,52,14,0,0,61,Hnry Stadium,-1,,7,2026,11,11,Left Wing,0,,0,,1000498,Angus Mabey,1000504,Paul Williams,1000688,Michael Winter,1000580,Aaron Paterson,205,Super Rugby Pacific,Y,W,30782,Devan Flanders,94,Hurricanes,17
