ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,949244,91,,91,Chiefs,0.00,3.80,1,1,49,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-04T06:05:26Z,0,0,0,0,0,91,Chiefs,200,NSW Waratahs,04/04/2026,19:05,23,7,42,14,0,0,60,FMG Stadium Waikato,-1,,8,2026,,,,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,227,Glenn Newman,205,Super Rugby Pacific,Y,W,0,,0,,
1,949244,39084,Josh Jacomb,91,Chiefs,0.00,3.80,1,1,49,34,76,8,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,27,38,27,0,2026-04-04T06:05:26Z,1,0,1,0,0,91,Chiefs,200,NSW Waratahs,04/04/2026,19:05,23,7,42,14,0,0,60,FMG Stadium Waikato,-1,,8,2026,10,10,Fly Half,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,227,Glenn Newman,205,Super Rugby Pacific,Y,W,0,,0,,
2,949244,21783,Matt Philip,200,NSW Waratahs,3.80,3.80,5,1,24,60,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-04T06:05:30Z,1,1,1,0,0,91,Chiefs,200,NSW Waratahs,04/04/2026,19:05,23,7,42,14,0,0,60,FMG Stadium Waikato,-1,,8,2026,04,4,Lock (4),0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,227,Glenn Newman,205,Super Rugby Pacific,N,L,0,,0,,
3,949244,21783,Matt Philip,200,NSW Waratahs,3.80,5.68,5,1,24,60,26,60,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,2,2,1,1,2026-04-04T06:05:30Z,1,1,1,0,0,91,Chiefs,200,NSW Waratahs,04/04/2026,19:05,23,7,42,14,0,0,60,FMG Stadium Waikato,-1,,8,2026,04,4,Lock (4),0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,227,Glenn Newman,205,Super Rugby Pacific,N,L,31477,Tupou Vaa'i,91,Chiefs,4
4,949244,31477,Tupou Vaa'i,91,Chiefs,4.96,4.96,6,1,75,8,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2026-04-04T06:05:31Z,1,1,1,0,0,91,Chiefs,200,NSW Waratahs,04/04/2026,19:05,23,7,42,14,0,0,60,FMG Stadium Waikato,-1,,8,2026,05,5,Lock (5),0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,227,Glenn Newman,205,Super Rugby Pacific,Y,W,21783,Matt Philip,200,NSW Waratahs,3
5,949244,21783,Matt Philip,200,NSW Waratahs,5.68,8.60,7,1,26,60,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,554,2-3 Seconds,663,Close Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,2,7,2026-04-04T06:05:32Z,1,1,1,0,0,91,Chiefs,200,NSW Waratahs,04/04/2026,19:05,23,7,42,14,0,0,60,FMG Stadium Waikato,-1,,8,2026,04,4,Lock (4),0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,227,Glenn Newman,205,Super Rugby Pacific,N,L,35848,Teddy Wilson,200,NSW Waratahs,10
6,949244,35650,Dan Botha,200,NSW Waratahs,6.36,6.36,7,1,26,60,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2026-04-04T06:05:30Z,1,1,1,0,0,91,Chiefs,200,NSW Waratahs,04/04/2026,19:05,23,7,42,14,0,0,60,FMG Stadium Waikato,-1,,8,2026,03,3,Tighthead Prop,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,227,Glenn Newman,205,Super Rugby Pacific,N,L,0,,0,,
7,949244,34444,Samipeni Finau,91,Chiefs,6.56,6.56,7,1,74,8,0,0,43,Ruck OOA,800,Other Defensive Arrival,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,801,Jackal Attempt,0,2,0,,0,,0,,0,,0,0,0,0,2026-04-04T06:05:30Z,1,1,1,0,0,91,Chiefs,200,NSW Waratahs,04/04/2026,19:05,23,7,42,14,0,0,60,FMG Stadium Waikato,-1,,8,2026,06,6,Blindside Flanker,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,227,Glenn Newman,205,Super Rugby Pacific,Y,W,0,,0,,
8,949244,34265,Charlie Gamble,200,NSW Waratahs,6.76,6.76,8,1,26,60,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,3,0,,0,,0,,0,,0,0,0,0,2026-04-04T06:05:30Z,1,1,1,0,0,91,Chiefs,200,NSW Waratahs,04/04/2026,19:05,23,7,42,14,0,0,60,FMG Stadium Waikato,-1,,8,2026,07,7,Openside Flanker,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,227,Glenn Newman,205,Super Rugby Pacific,N,L,0,,0,,
9,949244,22126,Pete Samu,200,NSW Waratahs,8.56,8.56,9,1,26,60,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,,0,4,0,,0,,0,,0,,0,0,0,0,2026-04-04T06:05:32Z,1,1,1,0,0,91,Chiefs,200,NSW Waratahs,04/04/2026,19:05,23,7,42,14,0,0,60,FMG Stadium Waikato,-1,,8,2026,08,8,Number 8,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,227,Glenn Newman,205,Super Rugby Pacific,N,L,0,,0,,
10,949244,35848,Teddy Wilson,200,NSW Waratahs,8.60,8.60,9,1,25,60,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-04T06:05:37Z,2,1,1,0,0,91,Chiefs,200,NSW Waratahs,04/04/2026,19:05,23,7,42,14,0,0,60,FMG Stadium Waikato,-1,,8,2026,09,9,Scrum Half,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,227,Glenn Newman,205,Super Rugby Pacific,N,L,0,,0,,
11,949244,35848,Teddy Wilson,200,NSW Waratahs,8.60,8.60,9,1,25,60,0,0,47,Playmaker Options,671,Halfback at Breakdown,675,Playmaker Option - Pass,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-04T06:05:37Z,2,1,1,0,0,91,Chiefs,200,NSW Waratahs,04/04/2026,19:05,23,7,42,14,0,0,60,FMG Stadium Waikato,-1,,8,2026,09,9,Scrum Half,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,227,Glenn Newman,205,Super Rugby Pacific,N,L,0,,0,,
12,949244,35848,Teddy Wilson,200,NSW Waratahs,11.32,11.76,12,1,25,60,23,54,3,Pass,169,Complete,0,,686,Medium Pass,681,Left Pass,700,0th Receiver,0,,0,,0,,0,,0,,6,7,3,0,2026-04-04T06:05:37Z,2,1,1,0,0,91,Chiefs,200,NSW Waratahs,04/04/2026,19:05,23,7,42,14,0,0,60,FMG Stadium Waikato,-1,,8,2026,09,9,Scrum Half,0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,227,Glenn Newman,205,Super Rugby Pacific,N,L,33244,Miles Amatosero,200,NSW Waratahs,13
13,949244,33244,Miles Amatosero,200,NSW Waratahs,11.76,11.76,13,1,23,54,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-04T06:05:39Z,2,1,1,0,0,91,Chiefs,200,NSW Waratahs,04/04/2026,19:05,23,7,42,14,0,0,60,FMG Stadium Waikato,-1,,8,2026,05,5,Lock (5),0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,227,Glenn Newman,205,Super Rugby Pacific,N,L,0,,0,,
14,949244,33244,Miles Amatosero,200,NSW Waratahs,11.76,11.76,13,1,23,54,0,0,47,Playmaker Options,656,First Receiver,673,Playmaker Option - Carry,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-04T06:05:39Z,2,1,1,0,0,91,Chiefs,200,NSW Waratahs,04/04/2026,19:05,23,7,42,14,0,0,60,FMG Stadium Waikato,-1,,8,2026,05,5,Lock (5),0,,0,,1000678,James Doleman,1000968,Marcus Playle,1001276,Fraser Hannon,227,Glenn Newman,205,Super Rugby Pacific,N,L,0,,0,,
