ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,949245,250,,250,Queensland Reds,0.00,4.08,3,1,49,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-04T08:35:02Z,0,0,0,0,0,250,Queensland Reds,73,Western Force,04/04/2026,18:35,12,21,19,42,0,0,49,Suncorp Stadium,-1,,8,2026,,,,0,,0,,1000428,Ben O'Keeffe,1001578,Todd Petrie,1001775,Warwick Lahmert,260,Richard Kelly,205,Super Rugby Pacific,Y,L,0,,0,,
1,949245,31305,Ben Donaldson,73,Western Force,0.00,4.08,3,1,49,34,77,10,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,28,38,25,0,2026-04-04T08:35:02Z,1,0,1,0,0,250,Queensland Reds,73,Western Force,04/04/2026,18:35,12,21,19,42,0,0,49,Suncorp Stadium,-1,,8,2026,10,10,Fly Half,0,,0,,1000428,Ben O'Keeffe,1001578,Todd Petrie,1001775,Warwick Lahmert,260,Richard Kelly,205,Super Rugby Pacific,N,W,0,,0,,
2,949245,25509,Harry Wilson,250,Queensland Reds,4.08,4.08,7,1,23,58,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-04T08:35:06Z,1,1,1,0,0,250,Queensland Reds,73,Western Force,04/04/2026,18:35,12,21,19,42,0,0,49,Suncorp Stadium,-1,,8,2026,08,8,Number 8,0,,0,,1000428,Ben O'Keeffe,1001578,Todd Petrie,1001775,Warwick Lahmert,260,Richard Kelly,205,Super Rugby Pacific,Y,L,0,,0,,
3,949245,25509,Harry Wilson,250,Queensland Reds,4.08,4.88,7,1,23,58,21,59,1,Carry,105,Restart Return,409,Tackled Ineffective,111,Failed Gain line,462,Ineffective Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,0,0,0,0,2026-04-04T08:35:06Z,1,1,1,0,0,250,Queensland Reds,73,Western Force,04/04/2026,18:35,12,21,19,42,0,0,49,Suncorp Stadium,-1,,8,2026,08,8,Number 8,0,,0,,1000428,Ben O'Keeffe,1001578,Todd Petrie,1001775,Warwick Lahmert,260,Richard Kelly,205,Super Rugby Pacific,Y,L,27375,Dylan Pietsch,73,Western Force,4
4,949245,27375,Dylan Pietsch,73,Western Force,4.60,4.60,8,1,76,9,0,0,2,Tackle,142,Chase,159,Sack,0,,473,Dominant Tackle,708,1st Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2026-04-04T08:35:06Z,1,1,1,0,0,250,Queensland Reds,73,Western Force,04/04/2026,18:35,12,21,19,42,0,0,49,Suncorp Stadium,-1,,8,2026,11,11,Left Wing,0,,0,,1000428,Ben O'Keeffe,1001578,Todd Petrie,1001775,Warwick Lahmert,260,Richard Kelly,205,Super Rugby Pacific,N,W,25509,Harry Wilson,250,Queensland Reds,3
5,949245,0,,250,Queensland Reds,4.88,4.88,8,1,21,59,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,40,0,0,0,2026-04-04T08:35:07Z,1,1,1,0,0,250,Queensland Reds,73,Western Force,04/04/2026,18:35,12,21,19,42,0,0,49,Suncorp Stadium,-1,,8,2026,,,,0,,0,,1000428,Ben O'Keeffe,1001578,Todd Petrie,1001775,Warwick Lahmert,260,Richard Kelly,205,Super Rugby Pacific,Y,L,0,,0,,
6,949245,25509,Harry Wilson,250,Queensland Reds,4.88,12.64,8,1,21,59,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,558,6+ Seconds,661,Mid Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-2,16,2026-04-04T08:35:07Z,1,1,1,0,0,250,Queensland Reds,73,Western Force,04/04/2026,18:35,12,21,19,42,0,0,49,Suncorp Stadium,-1,,8,2026,08,8,Number 8,0,,0,,1000428,Ben O'Keeffe,1001578,Todd Petrie,1001775,Warwick Lahmert,260,Richard Kelly,205,Super Rugby Pacific,Y,L,33294,Kalani Thomas,250,Queensland Reds,13
7,949245,28868,Filipo Daugunu,250,Queensland Reds,5.04,5.04,8,1,21,59,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2026-04-04T08:35:07Z,1,1,1,0,0,250,Queensland Reds,73,Western Force,04/04/2026,18:35,12,21,19,42,0,0,49,Suncorp Stadium,-1,,8,2026,14,14,Right Wing,0,,0,,1000428,Ben O'Keeffe,1001578,Todd Petrie,1001775,Warwick Lahmert,260,Richard Kelly,205,Super Rugby Pacific,Y,L,0,,0,,
8,949245,23336,George Bridge,73,Western Force,5.48,5.48,9,1,79,9,0,0,43,Ruck OOA,800,Other Defensive Arrival,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,802,Counter Ruck Attempt,0,2,0,,0,,0,,0,,0,0,0,0,2026-04-04T08:35:07Z,1,1,1,0,0,250,Queensland Reds,73,Western Force,04/04/2026,18:35,12,21,19,42,0,0,49,Suncorp Stadium,-1,,8,2026,13,13,Outside Centre,0,,0,,1000428,Ben O'Keeffe,1001578,Todd Petrie,1001775,Warwick Lahmert,260,Richard Kelly,205,Super Rugby Pacific,N,W,0,,0,,
9,949245,34228,Seru Uru,250,Queensland Reds,6.64,6.64,10,1,21,59,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,3,0,,0,,0,,0,,0,0,0,0,2026-04-04T08:35:08Z,1,1,1,0,0,250,Queensland Reds,73,Western Force,04/04/2026,18:35,12,21,19,42,0,0,49,Suncorp Stadium,-1,,8,2026,04,4,Lock (4),0,,0,,1000428,Ben O'Keeffe,1001578,Todd Petrie,1001775,Warwick Lahmert,260,Richard Kelly,205,Super Rugby Pacific,Y,L,0,,0,,
10,949245,25098,Franco Molina,73,Western Force,6.76,6.76,10,1,79,9,0,0,43,Ruck OOA,800,Other Defensive Arrival,584,Own Team 2nd Entry,604,OOA Entry 2nd Entry- Def,633,Defensive OOA,802,Counter Ruck Attempt,0,4,0,,0,,0,,0,,0,0,0,0,2026-04-04T08:35:08Z,1,1,1,0,0,250,Queensland Reds,73,Western Force,04/04/2026,18:35,12,21,19,42,0,0,49,Suncorp Stadium,-1,,8,2026,04,4,Lock (4),0,,0,,1000428,Ben O'Keeffe,1001578,Todd Petrie,1001775,Warwick Lahmert,260,Richard Kelly,205,Super Rugby Pacific,N,W,0,,0,,
11,949245,59767,Nick Bloomfield,250,Queensland Reds,6.84,6.84,10,1,21,59,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,,0,5,0,,0,,0,,0,,0,0,0,0,2026-04-04T08:35:09Z,1,1,1,0,0,250,Queensland Reds,73,Western Force,04/04/2026,18:35,12,21,19,42,0,0,49,Suncorp Stadium,-1,,8,2026,03,3,Tighthead Prop,0,,0,,1000428,Ben O'Keeffe,1001578,Todd Petrie,1001775,Warwick Lahmert,260,Richard Kelly,205,Super Rugby Pacific,Y,L,0,,0,,
12,949245,35572,Joe Brial,250,Queensland Reds,7.08,7.08,10,1,21,59,0,0,43,Ruck OOA,574,Secured,586,Own Team 4th Entry,591,OOA Entry 4th Entry- Att,632,Attacking OOA,0,,0,6,0,,0,,0,,0,,0,0,0,0,2026-04-04T08:35:09Z,1,1,1,0,0,250,Queensland Reds,73,Western Force,04/04/2026,18:35,12,21,19,42,0,0,49,Suncorp Stadium,-1,,8,2026,06,6,Blindside Flanker,0,,0,,1000428,Ben O'Keeffe,1001578,Todd Petrie,1001775,Warwick Lahmert,260,Richard Kelly,205,Super Rugby Pacific,Y,L,0,,0,,
