ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,949248,441,,441,Fijian Drua,0.00,3.96,4,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-11T04:37:18Z,0,0,0,0,0,441,Fijian Drua,73,Western Force,11/04/2026,16:35,19,7,24,22,0,0,72,Churchill Park,-1,,9,2026,,,,0,,0,,1000642,Damon Murphy,1000544,Jordan Way,1001718,Jeremy Markey,123,James Leckie,205,Super Rugby Pacific,Y,W,0,,0,,
1,949248,31305,Ben Donaldson,73,Western Force,0.00,3.96,4,1,50,34,86,50,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,36,40,16,0,2026-04-11T04:37:18Z,1,0,1,0,0,441,Fijian Drua,73,Western Force,11/04/2026,16:35,19,7,24,22,0,0,72,Churchill Park,-1,,9,2026,10,10,Fly Half,0,,0,,1000642,Damon Murphy,1000544,Jordan Way,1001718,Jeremy Markey,123,James Leckie,205,Super Rugby Pacific,N,L,0,,0,,
2,949248,18336,Virimi Vakatawa,441,Fijian Drua,3.96,3.96,8,1,14,18,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-11T04:37:22Z,1,1,1,0,0,441,Fijian Drua,73,Western Force,11/04/2026,16:35,19,7,24,22,0,0,72,Churchill Park,-1,,9,2026,12,12,Inside Centre,0,,0,,1000642,Damon Murphy,1000544,Jordan Way,1001718,Jeremy Markey,123,James Leckie,205,Super Rugby Pacific,Y,W,0,,0,,
3,949248,0,,441,Fijian Drua,3.96,3.96,8,1,14,18,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,48,0,0,0,2026-04-11T04:37:22Z,1,1,1,0,0,441,Fijian Drua,73,Western Force,11/04/2026,16:35,19,7,24,22,0,0,72,Churchill Park,-1,,9,2026,,,,0,,0,,1000642,Damon Murphy,1000544,Jordan Way,1001718,Jeremy Markey,123,James Leckie,205,Super Rugby Pacific,Y,W,0,,0,,
4,949248,18336,Virimi Vakatawa,441,Fijian Drua,3.96,7.08,8,1,14,18,20,20,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,6,6,1,1,2026-04-11T04:37:22Z,1,1,1,0,0,441,Fijian Drua,73,Western Force,11/04/2026,16:35,19,7,24,22,0,0,72,Churchill Park,-1,,9,2026,12,12,Inside Centre,0,,0,,1000642,Damon Murphy,1000544,Jordan Way,1001718,Jeremy Markey,123,James Leckie,205,Super Rugby Pacific,Y,W,27655,Bayley Kuenzle,73,Western Force,5
5,949248,27655,Bayley Kuenzle,73,Western Force,6.00,6.00,10,1,82,49,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2026-04-11T04:37:24Z,1,1,1,0,0,441,Fijian Drua,73,Western Force,11/04/2026,16:35,19,7,24,22,0,0,72,Churchill Park,-1,,9,2026,12,12,Inside Centre,0,,0,,1000642,Damon Murphy,1000544,Jordan Way,1001718,Jeremy Markey,123,James Leckie,205,Super Rugby Pacific,N,L,18336,Virimi Vakatawa,441,Fijian Drua,4
6,949248,18336,Virimi Vakatawa,441,Fijian Drua,7.08,10.12,11,1,20,20,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,555,3-4 Seconds,662,Mid Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-8,11,2026-04-11T04:37:26Z,1,1,1,0,0,441,Fijian Drua,73,Western Force,11/04/2026,16:35,19,7,24,22,0,0,72,Churchill Park,-1,,9,2026,12,12,Inside Centre,0,,0,,1000642,Damon Murphy,1000544,Jordan Way,1001718,Jeremy Markey,123,James Leckie,205,Super Rugby Pacific,Y,W,23495,Issak Fines-Leleiwasa,441,Fijian Drua,10
7,949248,30861,Tuidraki Samusamuvodre,441,Fijian Drua,7.44,7.44,11,1,20,20,0,0,43,Ruck OOA,575,Attended,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2026-04-11T04:37:26Z,1,1,1,0,0,441,Fijian Drua,73,Western Force,11/04/2026,16:35,19,7,24,22,0,0,72,Churchill Park,-1,,9,2026,13,13,Outside Centre,0,,0,,1000642,Damon Murphy,1000544,Jordan Way,1001718,Jeremy Markey,123,James Leckie,205,Super Rugby Pacific,Y,W,0,,0,,
8,949248,32876,Isoa Nasilasila,441,Fijian Drua,7.56,7.56,11,1,20,20,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2026-04-11T04:37:26Z,1,1,1,0,0,441,Fijian Drua,73,Western Force,11/04/2026,16:35,19,7,24,22,0,0,72,Churchill Park,-1,,9,2026,04,4,Lock (4),0,,0,,1000642,Damon Murphy,1000544,Jordan Way,1001718,Jeremy Markey,123,James Leckie,205,Super Rugby Pacific,Y,W,0,,0,,
9,949248,20730,Mesake Doge,441,Fijian Drua,8.88,8.88,13,1,20,20,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,,0,3,0,,0,,0,,0,,0,0,0,0,2026-04-11T04:37:27Z,1,1,1,0,0,441,Fijian Drua,73,Western Force,11/04/2026,16:35,19,7,24,22,0,0,72,Churchill Park,-1,,9,2026,03,3,Tighthead Prop,0,,0,,1000642,Damon Murphy,1000544,Jordan Way,1001718,Jeremy Markey,123,James Leckie,205,Super Rugby Pacific,Y,W,0,,0,,
