ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,949256,96,,96,Crusaders,0.00,3.56,0,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-24T07:38:11Z,0,0,0,0,0,96,Crusaders,200,NSW Waratahs,24/04/2026,19:35,14,13,35,20,0,0,1611,One NZ Stadium,-1,,11,2026,,,,0,,0,,1000536,Nic Berry,1000428,Ben O'Keeffe,1000642,Damon Murphy,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,0,,0,,
1,949256,30667,Lawson Creighton,200,NSW Waratahs,0.00,3.56,0,1,50,34,78,3,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,28,42,32,0,2026-04-24T07:38:11Z,1,0,1,0,0,96,Crusaders,200,NSW Waratahs,24/04/2026,19:35,14,13,35,20,0,0,1611,One NZ Stadium,-1,,11,2026,12,12,Inside Centre,0,,0,,1000536,Nic Berry,1000428,Ben O'Keeffe,1000642,Damon Murphy,1000594,Brett Cronan,205,Super Rugby Pacific,N,L,0,,0,,
2,949256,34997,Antonio Shalfoon,96,Crusaders,3.56,3.56,4,1,22,65,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-24T07:38:15Z,1,1,1,0,0,96,Crusaders,200,NSW Waratahs,24/04/2026,19:35,14,13,35,20,0,0,1611,One NZ Stadium,-1,,11,2026,04,4,Lock (4),0,,0,,1000536,Nic Berry,1000428,Ben O'Keeffe,1000642,Damon Murphy,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,0,,0,,
3,949256,0,,96,Crusaders,3.56,3.56,4,1,22,65,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,19,0,0,0,2026-04-24T07:38:15Z,1,1,1,0,0,96,Crusaders,200,NSW Waratahs,24/04/2026,19:35,14,13,35,20,0,0,1611,One NZ Stadium,-1,,11,2026,,,,0,,0,,1000536,Nic Berry,1000428,Ben O'Keeffe,1000642,Damon Murphy,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,0,,0,,
4,949256,34997,Antonio Shalfoon,96,Crusaders,3.56,7.24,4,1,22,65,22,62,1,Carry,105,Restart Return,409,Tackled Ineffective,110,Neutral Gain line,462,Ineffective Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,0,0,0,0,2026-04-24T07:38:15Z,1,1,1,0,0,96,Crusaders,200,NSW Waratahs,24/04/2026,19:35,14,13,35,20,0,0,1611,One NZ Stadium,-1,,11,2026,04,4,Lock (4),0,,0,,1000536,Nic Berry,1000428,Ben O'Keeffe,1000642,Damon Murphy,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,32089,Joey Walton,200,NSW Waratahs,5
5,949256,32089,Joey Walton,200,NSW Waratahs,4.76,4.76,5,1,77,3,0,0,2,Tackle,142,Chase,159,Sack,0,,473,Dominant Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-04-24T07:38:16Z,1,1,1,0,0,96,Crusaders,200,NSW Waratahs,24/04/2026,19:35,14,13,35,20,0,0,1611,One NZ Stadium,-1,,11,2026,13,13,Outside Centre,0,,0,,1000536,Nic Berry,1000428,Ben O'Keeffe,1000642,Damon Murphy,1000594,Brett Cronan,205,Super Rugby Pacific,N,L,34997,Antonio Shalfoon,96,Crusaders,4
6,949256,34448,Fletcher Newell,96,Crusaders,4.88,4.88,5,1,23,65,0,0,10,Attacking Qualities,529,Snake,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-24T07:38:16Z,1,1,1,0,0,96,Crusaders,200,NSW Waratahs,24/04/2026,19:35,14,13,35,20,0,0,1611,One NZ Stadium,-1,,11,2026,03,3,Tighthead Prop,0,,0,,1000536,Nic Berry,1000428,Ben O'Keeffe,1000642,Damon Murphy,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,0,,0,,
7,949256,64111,Sid Harvey,200,NSW Waratahs,5.20,5.20,5,1,77,3,0,0,2,Tackle,142,Chase,159,Sack,441,Assist,473,Dominant Tackle,709,2nd Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-04-24T07:38:17Z,1,1,1,0,0,96,Crusaders,200,NSW Waratahs,24/04/2026,19:35,14,13,35,20,0,0,1611,One NZ Stadium,-1,,11,2026,11,11,Left Wing,0,,0,,1000536,Nic Berry,1000428,Ben O'Keeffe,1000642,Damon Murphy,1000594,Brett Cronan,205,Super Rugby Pacific,N,L,34997,Antonio Shalfoon,96,Crusaders,4
8,949256,18808,Codie Taylor,96,Crusaders,5.36,5.36,6,1,23,65,0,0,10,Attacking Qualities,529,Snake,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-24T07:38:17Z,1,1,1,0,0,96,Crusaders,200,NSW Waratahs,24/04/2026,19:35,14,13,35,20,0,0,1611,One NZ Stadium,-1,,11,2026,02,2,Hooker,0,,0,,1000536,Nic Berry,1000428,Ben O'Keeffe,1000642,Damon Murphy,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,0,,0,,
9,949256,36020,Dom Gardiner,96,Crusaders,7.04,7.04,7,1,23,65,0,0,10,Attacking Qualities,529,Snake,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-24T07:38:19Z,1,1,1,0,0,96,Crusaders,200,NSW Waratahs,24/04/2026,19:35,14,13,35,20,0,0,1611,One NZ Stadium,-1,,11,2026,06,6,Blindside Flanker,0,,0,,1000536,Nic Berry,1000428,Ben O'Keeffe,1000642,Damon Murphy,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,0,,0,,
10,949256,34997,Antonio Shalfoon,96,Crusaders,7.24,8.68,7,1,22,62,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,553,1-2 Seconds,663,Close Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-3,6,2026-04-24T07:38:19Z,1,1,1,0,0,96,Crusaders,200,NSW Waratahs,24/04/2026,19:35,14,13,35,20,0,0,1611,One NZ Stadium,-1,,11,2026,04,4,Lock (4),0,,0,,1000536,Nic Berry,1000428,Ben O'Keeffe,1000642,Damon Murphy,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,39117,Noah Hotham,96,Crusaders,11
