ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,949259,95,,95,Highlanders,0.00,4.16,4,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-26T02:03:05Z,0,0,0,0,0,95,Highlanders,3600,Moana Pasifika,26/04/2026,14:00,7,10,27,17,0,0,1611,One NZ Stadium,-1,,11,2026,,,,0,,0,,1001578,Todd Petrie,1000498,Angus Mabey,1000968,Marcus Playle,260,Richard Kelly,205,Super Rugby Pacific,Y,W,0,,0,,
1,949259,37085,Patrick Pellegrini,3600,Moana Pasifika,0.00,4.16,4,1,50,34,71,56,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,753,Kicked Right,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,21,31,23,0,2026-04-26T02:03:05Z,1,0,1,0,0,95,Highlanders,3600,Moana Pasifika,26/04/2026,14:00,7,10,27,17,0,0,1611,One NZ Stadium,-1,,11,2026,10,10,Fly Half,0,,0,,1001578,Todd Petrie,1000498,Angus Mabey,1000968,Marcus Playle,260,Richard Kelly,205,Super Rugby Pacific,N,L,0,,0,,
2,949259,32694,Ethan de Groot,95,Highlanders,3.48,3.48,7,1,31,9,0,0,40,Defensive Action,561,Aerial Kick Contest,0,,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-26T02:03:04Z,1,0,1,0,0,95,Highlanders,3600,Moana Pasifika,26/04/2026,14:00,7,10,27,17,0,0,1611,One NZ Stadium,-1,,11,2026,01,1,Loosehead Prop,0,,0,,1001578,Todd Petrie,1000498,Angus Mabey,1000968,Marcus Playle,260,Richard Kelly,205,Super Rugby Pacific,Y,W,0,,0,,
3,949259,28218,Tanielu Tele'a,95,Highlanders,4.16,4.16,8,1,29,12,0,0,18,Collection,275,Restart Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-26T02:03:09Z,1,1,1,0,0,95,Highlanders,3600,Moana Pasifika,26/04/2026,14:00,7,10,27,17,0,0,1611,One NZ Stadium,-1,,11,2026,13,13,Outside Centre,0,,0,,1001578,Todd Petrie,1000498,Angus Mabey,1000968,Marcus Playle,260,Richard Kelly,205,Super Rugby Pacific,Y,W,0,,0,,
4,949259,28218,Tanielu Tele'a,95,Highlanders,4.16,7.52,8,1,29,12,32,11,1,Carry,105,Restart Return,107,Tackled Dominant,109,Crossed Gain line,460,Dominant Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,3,3,1,1,2026-04-26T02:03:09Z,1,1,1,0,0,95,Highlanders,3600,Moana Pasifika,26/04/2026,14:00,7,10,27,17,0,0,1611,One NZ Stadium,-1,,11,2026,13,13,Outside Centre,0,,0,,1001578,Todd Petrie,1000498,Angus Mabey,1000968,Marcus Playle,260,Richard Kelly,205,Super Rugby Pacific,Y,W,43727,Miracle Faiilagi,3600,Moana Pasifika,5
5,949259,43727,Miracle Faiilagi,3600,Moana Pasifika,6.60,6.60,10,1,69,58,0,0,2,Tackle,142,Chase,160,Passive,0,,475,Ineffective Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,2026-04-26T02:03:12Z,1,1,1,0,0,95,Highlanders,3600,Moana Pasifika,26/04/2026,14:00,7,10,27,17,0,0,1611,One NZ Stadium,-1,,11,2026,06,6,Blindside Flanker,0,,0,,1001578,Todd Petrie,1000498,Angus Mabey,1000968,Marcus Playle,260,Richard Kelly,205,Super Rugby Pacific,N,L,28218,Tanielu Tele'a,95,Highlanders,4
6,949259,35051,Mills Sanerivi,3600,Moana Pasifika,7.16,7.16,11,1,69,58,0,0,2,Tackle,142,Chase,160,Passive,441,Assist,475,Ineffective Tackle,709,2nd Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2026-04-26T02:03:12Z,1,1,1,0,0,95,Highlanders,3600,Moana Pasifika,26/04/2026,14:00,7,10,27,17,0,0,1611,One NZ Stadium,-1,,11,2026,02,2,Hooker,0,,0,,1001578,Todd Petrie,1000498,Angus Mabey,1000968,Marcus Playle,260,Richard Kelly,205,Super Rugby Pacific,N,L,28218,Tanielu Tele'a,95,Highlanders,4
7,949259,28218,Tanielu Tele'a,95,Highlanders,7.52,13.84,11,1,32,11,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,558,6+ Seconds,668,Tight Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-2,0,2026-04-26T02:03:13Z,1,1,1,0,0,95,Highlanders,3600,Moana Pasifika,26/04/2026,14:00,7,10,27,17,0,0,1611,One NZ Stadium,-1,,11,2026,13,13,Outside Centre,0,,0,,1001578,Todd Petrie,1000498,Angus Mabey,1000968,Marcus Playle,260,Richard Kelly,205,Super Rugby Pacific,Y,W,56236,Adam Lennox,95,Highlanders,12
8,949259,32694,Ethan de Groot,95,Highlanders,8.64,8.64,12,1,32,11,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2026-04-26T02:03:08Z,1,1,1,0,0,95,Highlanders,3600,Moana Pasifika,26/04/2026,14:00,7,10,27,17,0,0,1611,One NZ Stadium,-1,,11,2026,01,1,Loosehead Prop,0,,0,,1001578,Todd Petrie,1000498,Angus Mabey,1000968,Marcus Playle,260,Richard Kelly,205,Super Rugby Pacific,Y,W,0,,0,,
9,949259,39308,Veveni Lasaqa,95,Highlanders,9.32,9.32,13,1,32,11,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2026-04-26T02:03:09Z,1,1,1,0,0,95,Highlanders,3600,Moana Pasifika,26/04/2026,14:00,7,10,27,17,0,0,1611,One NZ Stadium,-1,,11,2026,07,7,Openside Flanker,0,,0,,1001578,Todd Petrie,1000498,Angus Mabey,1000968,Marcus Playle,260,Richard Kelly,205,Super Rugby Pacific,Y,W,0,,0,,
10,949259,20777,Tomas Lavanini,95,Highlanders,10.72,10.72,14,1,32,11,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,,0,3,0,,0,,0,,0,,0,0,0,0,2026-04-26T02:03:10Z,1,1,1,0,0,95,Highlanders,3600,Moana Pasifika,26/04/2026,14:00,7,10,27,17,0,0,1611,One NZ Stadium,-1,,11,2026,04,4,Lock (4),0,,0,,1001578,Todd Petrie,1000498,Angus Mabey,1000968,Marcus Playle,260,Richard Kelly,205,Super Rugby Pacific,Y,W,0,,0,,
11,949259,56228,Oliver Haig,95,Highlanders,10.88,10.88,14,1,32,11,0,0,43,Ruck OOA,575,Attended,586,Own Team 4th Entry,591,OOA Entry 4th Entry- Att,632,Attacking OOA,0,,0,4,0,,0,,0,,0,,0,0,0,0,2026-04-26T02:03:10Z,1,1,1,0,0,95,Highlanders,3600,Moana Pasifika,26/04/2026,14:00,7,10,27,17,0,0,1611,One NZ Stadium,-1,,11,2026,06,6,Blindside Flanker,0,,0,,1001578,Todd Petrie,1000498,Angus Mabey,1000968,Marcus Playle,260,Richard Kelly,205,Super Rugby Pacific,Y,W,0,,0,,
12,949259,56236,Adam Lennox,95,Highlanders,13.84,13.84,17,1,32,11,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-26T02:03:19Z,2,1,1,0,0,95,Highlanders,3600,Moana Pasifika,26/04/2026,14:00,7,10,27,17,0,0,1611,One NZ Stadium,-1,,11,2026,09,9,Scrum Half,0,,0,,1001578,Todd Petrie,1000498,Angus Mabey,1000968,Marcus Playle,260,Richard Kelly,205,Super Rugby Pacific,Y,W,0,,0,,
13,949259,56236,Adam Lennox,95,Highlanders,13.84,13.84,17,1,32,11,0,0,47,Playmaker Options,671,Halfback at Breakdown,674,Playmaker Option - Kick,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-26T02:03:19Z,2,1,1,0,0,95,Highlanders,3600,Moana Pasifika,26/04/2026,14:00,7,10,27,17,0,0,1611,One NZ Stadium,-1,,11,2026,09,9,Scrum Half,0,,0,,1001578,Todd Petrie,1000498,Angus Mabey,1000968,Marcus Playle,260,Richard Kelly,205,Super Rugby Pacific,Y,W,0,,0,,
14,949259,56236,Adam Lennox,95,Highlanders,15.28,18.40,19,1,30,11,54,6,4,Kick,346,Box,198,Caught Full,185,Kick in Play,0,,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,24,24,0,0,2026-04-26T02:03:20Z,2,1,1,0,0,95,Highlanders,3600,Moana Pasifika,26/04/2026,14:00,7,10,27,17,0,0,1611,One NZ Stadium,-1,,11,2026,09,9,Scrum Half,0,,0,,1001578,Todd Petrie,1000498,Angus Mabey,1000968,Marcus Playle,260,Richard Kelly,205,Super Rugby Pacific,Y,W,0,,0,,
