ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,949260,91,,91,Chiefs,0.00,3.48,2,1,50,35,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-26T04:32:33Z,0,0,0,0,0,91,Chiefs,441,Fijian Drua,26/04/2026,16:30,28,10,42,22,0,0,1611,One NZ Stadium,-1,,11,2026,,,,0,,0,,1000544,Jordan Way,271,Angus Gardner,1000428,Ben O'Keeffe,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,0,,0,,
1,949260,35870,Isaiah Armstrong-Ravula,441,Fijian Drua,0.00,3.48,2,1,50,35,77,9,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,27,38,27,0,2026-04-26T04:32:33Z,1,0,1,0,0,91,Chiefs,441,Fijian Drua,26/04/2026,16:30,28,10,42,22,0,0,1611,One NZ Stadium,-1,,11,2026,10,10,Fly Half,0,,0,,1000544,Jordan Way,271,Angus Gardner,1000428,Ben O'Keeffe,1000594,Brett Cronan,205,Super Rugby Pacific,N,L,0,,0,,
2,949260,31477,Tupou Vaa'i,91,Chiefs,3.48,3.48,6,1,23,59,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-04-26T04:32:36Z,1,1,1,0,0,91,Chiefs,441,Fijian Drua,26/04/2026,16:30,28,10,42,22,0,0,1611,One NZ Stadium,-1,,11,2026,05,5,Lock (5),0,,0,,1000544,Jordan Way,271,Angus Gardner,1000428,Ben O'Keeffe,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,0,,0,,
3,949260,31477,Tupou Vaa'i,91,Chiefs,3.48,5.16,6,1,23,59,22,59,1,Carry,105,Restart Return,409,Tackled Ineffective,110,Neutral Gain line,462,Ineffective Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,0,0,0,0,2026-04-26T04:32:36Z,1,1,1,0,0,91,Chiefs,441,Fijian Drua,26/04/2026,16:30,28,10,42,22,0,0,1611,One NZ Stadium,-1,,11,2026,05,5,Lock (5),0,,0,,1000544,Jordan Way,271,Angus Gardner,1000428,Ben O'Keeffe,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,59793,Mesake Vocevoce,441,Fijian Drua,4
4,949260,59793,Mesake Vocevoce,441,Fijian Drua,4.76,4.76,7,1,77,9,0,0,2,Tackle,142,Chase,159,Sack,0,,473,Dominant Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-04-26T04:32:38Z,1,1,1,0,0,91,Chiefs,441,Fijian Drua,26/04/2026,16:30,28,10,42,22,0,0,1611,One NZ Stadium,-1,,11,2026,04,4,Lock (4),0,,0,,1000544,Jordan Way,271,Angus Gardner,1000428,Ben O'Keeffe,1000594,Brett Cronan,205,Super Rugby Pacific,N,L,31477,Tupou Vaa'i,91,Chiefs,3
5,949260,31477,Tupou Vaa'i,91,Chiefs,5.16,10.08,8,1,22,59,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,556,4-5 Seconds,663,Close Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-3,6,2026-04-26T04:32:38Z,1,1,1,0,0,91,Chiefs,441,Fijian Drua,26/04/2026,16:30,28,10,42,22,0,0,1611,One NZ Stadium,-1,,11,2026,05,5,Lock (5),0,,0,,1000544,Jordan Way,271,Angus Gardner,1000428,Ben O'Keeffe,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,37618,Cortez Ratima,91,Chiefs,10
6,949260,40303,Dan Sinkinson,91,Chiefs,5.88,5.88,8,1,22,59,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2026-04-26T04:32:39Z,1,1,1,0,0,91,Chiefs,441,Fijian Drua,26/04/2026,16:30,28,10,42,22,0,0,1611,One NZ Stadium,-1,,11,2026,14,14,Right Wing,0,,0,,1000544,Jordan Way,271,Angus Gardner,1000428,Ben O'Keeffe,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,0,,0,,
7,949260,34443,George Dyer,91,Chiefs,9.32,9.32,12,1,22,59,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2026-04-26T04:32:42Z,1,1,1,0,0,91,Chiefs,441,Fijian Drua,26/04/2026,16:30,28,10,42,22,0,0,1611,One NZ Stadium,-1,,11,2026,03,3,Tighthead Prop,0,,0,,1000544,Jordan Way,271,Angus Gardner,1000428,Ben O'Keeffe,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,0,,0,,
8,949260,31087,Brodie McAlister,91,Chiefs,9.68,9.68,12,1,22,59,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,,0,3,0,,0,,0,,0,,0,0,0,0,2026-04-26T04:32:43Z,1,1,1,0,0,91,Chiefs,441,Fijian Drua,26/04/2026,16:30,28,10,42,22,0,0,1611,One NZ Stadium,-1,,11,2026,02,2,Hooker,0,,0,,1000544,Jordan Way,271,Angus Gardner,1000428,Ben O'Keeffe,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,0,,0,,
9,949260,31486,Quinn Tupaea,91,Chiefs,10.00,10.00,12,1,22,59,0,0,43,Ruck OOA,574,Secured,586,Own Team 4th Entry,591,OOA Entry 4th Entry- Att,632,Attacking OOA,0,,0,4,0,,0,,0,,0,,0,0,0,0,2026-04-26T04:32:43Z,1,1,1,0,0,91,Chiefs,441,Fijian Drua,26/04/2026,16:30,28,10,42,22,0,0,1611,One NZ Stadium,-1,,11,2026,12,12,Inside Centre,0,,0,,1000544,Jordan Way,271,Angus Gardner,1000428,Ben O'Keeffe,1000594,Brett Cronan,205,Super Rugby Pacific,Y,W,0,,0,,
