ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,949264,3600,,3600,Moana Pasifika,0.00,2.60,2,1,50,35,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-05-02T07:07:51Z,0,0,0,0,0,3600,Moana Pasifika,93,Blues,02/05/2026,19:05,12,14,19,45,0,0,102,North Harbour Stadium,-1,,12,2026,,,,0,,0,,1000536,Nic Berry,1000845,Reuben Keane,1001568,Louis Trisley,1000594,Brett Cronan,205,Super Rugby Pacific,Y,L,0,,0,,
1,949264,39118,William Havili,3600,Moana Pasifika,0.00,2.60,2,1,50,35,66,49,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,753,Kicked Right,796,Kick Receipt Contested,0,,0,,0,,0,,0,,16,22,15,0,2026-05-02T07:07:51Z,1,0,1,0,0,3600,Moana Pasifika,93,Blues,02/05/2026,19:05,12,14,19,45,0,0,102,North Harbour Stadium,-1,,12,2026,10,10,Fly Half,0,,0,,1000536,Nic Berry,1000845,Reuben Keane,1001568,Louis Trisley,1000594,Brett Cronan,205,Super Rugby Pacific,Y,L,0,,0,,
2,949264,26162,Solomon Alaimalo,3600,Moana Pasifika,2.32,2.32,4,1,66,48,0,0,40,Defensive Action,561,Aerial Kick Contest,0,,798,Kick Receipt Contested,1091,Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-05-02T07:07:51Z,1,0,1,0,0,3600,Moana Pasifika,93,Blues,02/05/2026,19:05,12,14,19,45,0,0,102,North Harbour Stadium,-1,,12,2026,13,13,Outside Centre,0,,0,,1000536,Nic Berry,1000845,Reuben Keane,1001568,Louis Trisley,1000594,Brett Cronan,205,Super Rugby Pacific,Y,L,0,,0,,
3,949264,59756,Xavi Taele,93,Blues,2.60,2.60,5,1,34,19,0,0,18,Collection,275,Restart Catch,278,Fail,798,Kick Receipt Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-05-02T07:07:54Z,1,0,1,0,0,3600,Moana Pasifika,93,Blues,02/05/2026,19:05,12,14,19,45,0,0,102,North Harbour Stadium,-1,,12,2026,13,13,Outside Centre,0,,0,,1000536,Nic Berry,1000845,Reuben Keane,1001568,Louis Trisley,1000594,Brett Cronan,205,Super Rugby Pacific,N,W,0,,0,,
4,949264,29510,Hoskins Sotutu,93,Blues,4.20,4.20,6,1,33,27,0,0,18,Collection,274,Defensive Loose Ball,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-05-02T07:07:56Z,1,1,1,0,0,3600,Moana Pasifika,93,Blues,02/05/2026,19:05,12,14,19,45,0,0,102,North Harbour Stadium,-1,,12,2026,08,8,Number 8,0,,0,,1000536,Nic Berry,1000845,Reuben Keane,1001568,Louis Trisley,1000594,Brett Cronan,205,Super Rugby Pacific,N,W,0,,0,,
5,949264,29510,Hoskins Sotutu,93,Blues,4.20,6.72,6,1,33,27,37,25,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,5,5,2,2,2026-05-02T07:07:56Z,1,1,1,0,0,3600,Moana Pasifika,93,Blues,02/05/2026,19:05,12,14,19,45,0,0,102,North Harbour Stadium,-1,,12,2026,08,8,Number 8,0,,0,,1000536,Nic Berry,1000845,Reuben Keane,1001568,Louis Trisley,1000594,Brett Cronan,205,Super Rugby Pacific,N,W,59760,Malakai Hala-Ngatai,3600,Moana Pasifika,6
6,949264,59760,Malakai Hala-Ngatai,3600,Moana Pasifika,4.76,4.76,7,1,64,41,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-05-02T07:07:56Z,1,1,1,0,0,3600,Moana Pasifika,93,Blues,02/05/2026,19:05,12,14,19,45,0,0,102,North Harbour Stadium,-1,,12,2026,01,1,Loosehead Prop,0,,0,,1000536,Nic Berry,1000845,Reuben Keane,1001568,Louis Trisley,1000594,Brett Cronan,205,Super Rugby Pacific,Y,L,29510,Hoskins Sotutu,93,Blues,5
7,949264,21733,Atu Moli,3600,Moana Pasifika,6.56,6.56,9,1,64,41,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,2026-05-02T07:07:58Z,1,1,1,0,0,3600,Moana Pasifika,93,Blues,02/05/2026,19:05,12,14,19,45,0,0,102,North Harbour Stadium,-1,,12,2026,03,3,Tighthead Prop,0,,0,,1000536,Nic Berry,1000845,Reuben Keane,1001568,Louis Trisley,1000594,Brett Cronan,205,Super Rugby Pacific,Y,L,29510,Hoskins Sotutu,93,Blues,5
8,949264,29510,Hoskins Sotutu,93,Blues,6.72,11.12,9,1,37,25,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,556,4-5 Seconds,663,Close Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-1,8,2026-05-02T07:07:58Z,1,1,1,0,0,3600,Moana Pasifika,93,Blues,02/05/2026,19:05,12,14,19,45,0,0,102,North Harbour Stadium,-1,,12,2026,08,8,Number 8,0,,0,,1000536,Nic Berry,1000845,Reuben Keane,1001568,Louis Trisley,1000594,Brett Cronan,205,Super Rugby Pacific,N,W,23620,Sam Nock,93,Blues,12
9,949264,32970,Sam Darry,93,Blues,6.92,6.92,9,1,37,25,0,0,43,Ruck OOA,572,Cleaned Out,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2026-05-02T07:07:54Z,1,1,1,0,0,3600,Moana Pasifika,93,Blues,02/05/2026,19:05,12,14,19,45,0,0,102,North Harbour Stadium,-1,,12,2026,05,5,Lock (5),0,,0,,1000536,Nic Berry,1000845,Reuben Keane,1001568,Louis Trisley,1000594,Brett Cronan,205,Super Rugby Pacific,N,W,0,,0,,
