ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,949274,73,,73,Western Force,0.00,3.68,1,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-05-16T09:36:08Z,0,0,0,0,0,73,Western Force,250,Queensland Reds,16/05/2026,17:35,7,7,19,14,0,0,198,HBF Park,-1,,14,2026,,,,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001718,Jeremy Markey,123,James Leckie,205,Super Rugby Pacific,Y,W,0,,0,,
1,949274,36977,Max Burey,73,Western Force,0.00,3.68,1,1,50,34,77,8,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,27,37,26,0,2026-05-16T09:36:08Z,1,0,1,0,0,73,Western Force,250,Queensland Reds,16/05/2026,17:35,7,7,19,14,0,0,198,HBF Park,-1,,14,2026,10,10,Fly Half,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001718,Jeremy Markey,123,James Leckie,205,Super Rugby Pacific,Y,W,0,,0,,
2,949274,34228,Seru Uru,250,Queensland Reds,3.68,3.68,4,1,23,60,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-05-16T09:36:12Z,1,1,1,0,0,73,Western Force,250,Queensland Reds,16/05/2026,17:35,7,7,19,14,0,0,198,HBF Park,-1,,14,2026,05,5,Lock (5),0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001718,Jeremy Markey,123,James Leckie,205,Super Rugby Pacific,N,L,0,,0,,
3,949274,34228,Seru Uru,250,Queensland Reds,3.68,5.32,4,1,23,60,25,60,1,Carry,105,Restart Return,118,Other,109,Crossed Gain line,0,,500,0 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,2,2,0,0,2026-05-16T09:36:12Z,1,1,1,0,0,73,Western Force,250,Queensland Reds,16/05/2026,17:35,7,7,19,14,0,0,198,HBF Park,-1,,14,2026,05,5,Lock (5),0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001718,Jeremy Markey,123,James Leckie,205,Super Rugby Pacific,N,L,0,,0,,
4,949274,34228,Seru Uru,250,Queensland Reds,5.32,10.16,6,1,25,60,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,556,4-5 Seconds,663,Close Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,0,4,2026-05-16T09:36:14Z,1,1,1,0,0,73,Western Force,250,Queensland Reds,16/05/2026,17:35,7,7,19,14,0,0,198,HBF Park,-1,,14,2026,05,5,Lock (5),0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001718,Jeremy Markey,123,James Leckie,205,Super Rugby Pacific,N,L,56414,Louis Werchon,250,Queensland Reds,8
5,949274,59748,Massimo De Lutiis,250,Queensland Reds,5.36,5.36,6,1,25,60,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,2026-05-16T09:36:09Z,1,1,1,0,0,73,Western Force,250,Queensland Reds,16/05/2026,17:35,7,7,19,14,0,0,198,HBF Park,-1,,14,2026,03,3,Tighthead Prop,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001718,Jeremy Markey,123,James Leckie,205,Super Rugby Pacific,N,L,0,,0,,
6,949274,25507,Josh Nasser,250,Queensland Reds,6.60,6.60,7,1,25,60,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2026-05-16T09:36:15Z,1,1,1,0,0,73,Western Force,250,Queensland Reds,16/05/2026,17:35,7,7,19,14,0,0,198,HBF Park,-1,,14,2026,02,2,Hooker,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001718,Jeremy Markey,123,James Leckie,205,Super Rugby Pacific,N,L,0,,0,,
7,949274,25509,Harry Wilson,250,Queensland Reds,7.44,7.44,8,1,25,60,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,,0,3,0,,0,,0,,0,,0,0,0,0,2026-05-16T09:36:15Z,1,1,1,0,0,73,Western Force,250,Queensland Reds,16/05/2026,17:35,7,7,19,14,0,0,198,HBF Park,-1,,14,2026,08,8,Number 8,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001718,Jeremy Markey,123,James Leckie,205,Super Rugby Pacific,N,L,0,,0,,
8,949274,56414,Louis Werchon,250,Queensland Reds,10.16,10.16,11,1,25,60,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-05-16T09:36:18Z,2,1,1,0,0,73,Western Force,250,Queensland Reds,16/05/2026,17:35,7,7,19,14,0,0,198,HBF Park,-1,,14,2026,09,9,Scrum Half,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001718,Jeremy Markey,123,James Leckie,205,Super Rugby Pacific,N,L,0,,0,,
9,949274,56414,Louis Werchon,250,Queensland Reds,10.16,10.16,11,1,25,60,0,0,47,Playmaker Options,671,Halfback at Breakdown,675,Playmaker Option - Pass,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-05-16T09:36:18Z,2,1,1,0,0,73,Western Force,250,Queensland Reds,16/05/2026,17:35,7,7,19,14,0,0,198,HBF Park,-1,,14,2026,09,9,Scrum Half,0,,0,,1000544,Jordan Way,1000642,Damon Murphy,1001718,Jeremy Markey,123,James Leckie,205,Super Rugby Pacific,N,L,0,,0,,
