ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,949283,91,,91,Chiefs,0.00,3.96,0,1,50,34,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-05-30T07:05:22Z,0,0,0,0,0,91,Chiefs,93,Blues,30/05/2026,19:05,19,15,59,34,0,0,60,FMG Stadium Waikato,-1,,16,2026,,,,0,,0,,271,Angus Gardner,1001545,George Myers,1000613,Matthew Kellahan,1000499,Graham Cooper,205,Super Rugby Pacific,Y,W,0,,0,,
1,949283,24946,Stephen Perofeta,93,Blues,0.00,3.96,0,1,50,34,77,7,14,Restart,281,50m Restart,286,Restart Opp Collection,289,Short,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,26,39,29,0,2026-05-30T07:05:22Z,1,0,1,0,0,91,Chiefs,93,Blues,30/05/2026,19:05,19,15,59,34,0,0,60,FMG Stadium Waikato,-1,,16,2026,10,10,Fly Half,0,,0,,271,Angus Gardner,1001545,George Myers,1000613,Matthew Kellahan,1000499,Graham Cooper,205,Super Rugby Pacific,N,L,0,,0,,
2,949283,32984,Josh Lord,91,Chiefs,3.96,3.96,4,1,24,61,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,2026-05-30T07:05:26Z,1,1,1,0,0,91,Chiefs,93,Blues,30/05/2026,19:05,19,15,59,34,0,0,60,FMG Stadium Waikato,-1,,16,2026,05,5,Lock (5),0,,0,,271,Angus Gardner,1001545,George Myers,1000613,Matthew Kellahan,1000499,Graham Cooper,205,Super Rugby Pacific,Y,W,0,,0,,
3,949283,32984,Josh Lord,91,Chiefs,3.96,6.40,4,1,24,61,26,63,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,2,2,1,1,2026-05-30T07:05:26Z,1,1,1,0,0,91,Chiefs,93,Blues,30/05/2026,19:05,19,15,59,34,0,0,60,FMG Stadium Waikato,-1,,16,2026,05,5,Lock (5),0,,0,,271,Angus Gardner,1001545,George Myers,1000613,Matthew Kellahan,1000499,Graham Cooper,205,Super Rugby Pacific,Y,W,32985,Anton Segner,93,Blues,4
4,949283,32985,Anton Segner,93,Blues,5.60,5.60,6,1,76,7,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,2026-05-30T07:05:27Z,1,1,1,0,0,91,Chiefs,93,Blues,30/05/2026,19:05,19,15,59,34,0,0,60,FMG Stadium Waikato,-1,,16,2026,07,7,Openside Flanker,0,,0,,271,Angus Gardner,1001545,George Myers,1000613,Matthew Kellahan,1000499,Graham Cooper,205,Super Rugby Pacific,N,L,32984,Josh Lord,91,Chiefs,3
5,949283,32984,Josh Lord,91,Chiefs,6.40,9.64,7,1,26,63,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,555,3-4 Seconds,663,Close Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-2,10,2026-05-30T07:05:28Z,1,1,1,0,0,91,Chiefs,93,Blues,30/05/2026,19:05,19,15,59,34,0,0,60,FMG Stadium Waikato,-1,,16,2026,05,5,Lock (5),0,,0,,271,Angus Gardner,1001545,George Myers,1000613,Matthew Kellahan,1000499,Graham Cooper,205,Super Rugby Pacific,Y,W,37618,Cortez Ratima,91,Chiefs,10
6,949283,32985,Anton Segner,93,Blues,7.24,7.24,8,1,74,5,0,0,43,Ruck OOA,800,Other Defensive Arrival,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,801,Jackal Attempt,0,1,0,,0,,0,,0,,0,0,0,0,2026-05-30T07:05:26Z,1,1,1,0,0,91,Chiefs,93,Blues,30/05/2026,19:05,19,15,59,34,0,0,60,FMG Stadium Waikato,-1,,16,2026,07,7,Openside Flanker,0,,0,,271,Angus Gardner,1001545,George Myers,1000613,Matthew Kellahan,1000499,Graham Cooper,205,Super Rugby Pacific,N,L,0,,0,,
7,949283,34443,George Dyer,91,Chiefs,7.40,7.40,8,1,26,63,0,0,43,Ruck OOA,572,Cleaned Out,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,2026-05-30T07:05:26Z,1,1,1,0,0,91,Chiefs,93,Blues,30/05/2026,19:05,19,15,59,34,0,0,60,FMG Stadium Waikato,-1,,16,2026,03,3,Tighthead Prop,0,,0,,271,Angus Gardner,1001545,George Myers,1000613,Matthew Kellahan,1000499,Graham Cooper,205,Super Rugby Pacific,Y,W,0,,0,,
8,949283,40303,Dan Sinkinson,91,Chiefs,7.64,7.64,8,1,26,63,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,3,0,,0,,0,,0,,0,0,0,0,2026-05-30T07:05:26Z,1,1,1,0,0,91,Chiefs,93,Blues,30/05/2026,19:05,19,15,59,34,0,0,60,FMG Stadium Waikato,-1,,16,2026,14,14,Right Wing,0,,0,,271,Angus Gardner,1001545,George Myers,1000613,Matthew Kellahan,1000499,Graham Cooper,205,Super Rugby Pacific,Y,W,0,,0,,
9,949283,32967,Tyrone Thompson,91,Chiefs,8.24,8.24,9,1,26,63,0,0,43,Ruck OOA,575,Attended,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,,0,4,0,,0,,0,,0,,0,0,0,0,2026-05-30T07:05:27Z,1,1,1,0,0,91,Chiefs,93,Blues,30/05/2026,19:05,19,15,59,34,0,0,60,FMG Stadium Waikato,-1,,16,2026,02,2,Hooker,0,,0,,271,Angus Gardner,1001545,George Myers,1000613,Matthew Kellahan,1000499,Graham Cooper,205,Super Rugby Pacific,Y,W,0,,0,,
